episode,score,shaped_reward,tau
1,0,9.63557,0.498442
2,0,11.235313,0.496648
3,0,10.453024,0.494866
4,1,8.880798,0.493157
5,0,8.390681,0.491703
6,0,10.614197,0.490136
7,0,10.699734,0.48846
8,0,8.79706,0.487211
9,0,11.627796,0.485673
10,0,11.467969,0.484086
11,0,9.536462,0.482625
12,0,13.632045,0.481
13,0,10.802879,0.479386
14,0,9.825085,0.478011
15,0,11.312802,0.476588
16,1,10.843782,0.475229
17,0,6.917687,0.473934
18,0,10.411237,0.472813
19,0,8.23688,0.471531
20,1,11.711106,0.470146
21,0,10.524155,0.468768
22,0,10.70434,0.467235
23,0,7.18597,0.465875
24,0,9.891065,0.464468
25,0,11.133936,0.463124
26,0,11.102023,0.461681
27,0,12.747162,0.460246
28,0,10.597011,0.458926
29,0,7.937286,0.457823
30,0,9.963419,0.456569
31,0,9.527736,0.45527
32,0,8.233367,0.454081
33,1,10.804202,0.452694
34,0,10.803759,0.451264
35,0,9.185754,0.449994
36,0,11.894067,0.448682
37,0,12.233757,0.447227
38,0,7.35609,0.44608
39,0,7.629975,0.445236
40,0,10.789241,0.443902
41,0,10.898202,0.442576
42,0,8.432211,0.441501
43,0,10.741285,0.440335
44,0,9.401768,0.439126
45,0,9.738351,0.438068
46,1,15.39988,0.436395
47,0,11.138114,0.435066
48,0,7.645717,0.433981
49,0,11.521314,0.432713
50,0,11.244462,0.431453
51,0,5.931813,0.430385
52,0,8.972268,0.429231
53,0,7.147447,0.428357
54,0,10.415494,0.427305
55,1,11.916876,0.426212
56,0,9.475686,0.425125
57,0,8.273254,0.423998
58,1,11.178995,0.422654
59,0,10.180371,0.421496
60,0,11.88144,0.420301
61,0,9.427205,0.419243
62,0,11.192708,0.418017
63,0,6.472791,0.417188
64,0,8.884048,0.416233
65,0,10.84652,0.414981
66,1,12.548328,0.41365
67,2,7.986398,0.412499
68,1,9.96381,0.41148
69,0,12.295576,0.410172
70,0,8.323856,0.409333
71,0,11.064561,0.408122
72,0,12.938939,0.406835
73,0,9.776695,0.405803
74,0,10.763206,0.404817
75,0,8.328465,0.403755
76,0,9.934512,0.402658
