episode,score,shaped_reward,tau
1,0,9.930866,0.498194
2,0,11.305094,0.496709
3,2,9.806483,0.494743
4,1,9.410601,0.49334
5,0,11.151531,0.491703
6,1,8.049443,0.490436
7,0,10.057001,0.488998
8,0,10.82425,0.487626
9,0,9.31252,0.486263
10,0,10.156514,0.48479
11,0,9.090664,0.483501
12,0,10.839036,0.481986
13,0,10.595211,0.48048
14,0,10.014778,0.479099
15,0,8.761842,0.477669
16,0,11.658306,0.476077
17,1,8.261495,0.474552
18,0,10.60976,0.473093
19,1,11.638881,0.471531
20,0,11.3159,0.470035
21,0,9.44233,0.468768
22,0,11.306421,0.467344
23,1,15.519236,0.465604
24,0,10.917126,0.464199
25,0,7.622676,0.463124
26,0,7.835706,0.46184
27,0,10.643648,0.460246
28,0,12.588284,0.458768
29,0,13.359181,0.457247
30,0,9.522738,0.455996
31,1,12.089413,0.454442
32,0,13.621556,0.452847
33,0,8.57895,0.451671
34,1,12.681179,0.450096
35,0,11.970618,0.448632
36,0,11.361154,0.447227
37,0,13.621866,0.445633
38,0,11.613402,0.444148
39,0,14.965611,0.442576
40,0,14.154174,0.441063
41,0,12.814516,0.439609
42,0,14.866957,0.438212
43,0,13.007205,0.43692
44,0,11.534842,0.43554
45,0,12.373322,0.434169
46,0,13.789779,0.432854
47,1,11.644257,0.431639
48,0,12.357198,0.430293
49,0,10.591103,0.429046
50,0,11.609564,0.427762
51,0,15.604778,0.426212
52,0,16.501403,0.424719
53,0,14.288943,0.423325
54,0,10.919255,0.42203
55,0,15.615899,0.420566
56,0,12.596917,0.419199
57,0,16.930342,0.417798
58,0,10.389045,0.416623
59,0,15.615291,0.415369
60,0,16.671921,0.41395
61,0,11.771908,0.412797
62,0,17.072041,0.411438
63,0,14.686249,0.41013
64,0,14.574936,0.408956
65,1,16.511282,0.407415
66,0,16.526693,0.406009
67,0,15.682472,0.404654
68,0,19.216041,0.403266
69,0,16.225271,0.40201
70,1,19.800102,0.40044
71,1,16.260226,0.399162
72,0,15.197542,0.397931
73,1,20.20626,0.396432
74,0,15.780441,0.395257
75,0,17.106521,0.393817
76,0,17.55488,0.392542
77,0,21.058934,0.391275
78,0,20.023091,0.389864
79,0,13.37993,0.388727
80,0,15.886283,0.387634
81,3,22.285623,0.385989
82,0,16.675832,0.384911
83,1,21.885313,0.383472
84,1,16.355872,0.38219
85,2,23.553247,0.380699
86,1,22.084696,0.379291
87,0,21.443007,0.378036
88,1,19.416465,0.37679
89,0,16.913354,0.375657
90,1,21.199692,0.374392
91,1,23.309655,0.373065
92,0,18.081725,0.371955
93,0,20.831137,0.370679
94,3,27.882464,0.369072
95,0,21.058407,0.367918
96,0,18.91609,0.366771
97,0,20.140665,0.365698
98,0,18.226539,0.364598
99,0,16.922401,0.363471
100,0,23.021313,0.362352
101,0,21.757716,0.361206
102,0,19.854089,0.360101
103,2,22.93395,0.358744
104,4,29.29257,0.357334
105,1,20.239588,0.356157
106,1,18.477964,0.355082
107,0,21.021469,0.354045
108,0,23.33391,0.352983
109,0,21.951074,0.351834
110,0,26.852453,0.350723
111,1,22.691661,0.34965
112,0,22.790243,0.348614
113,0,19.007392,0.347614
114,2,28.715257,0.34629
115,2,25.92292,0.345095
116,0,17.464097,0.344204
117,0,24.467465,0.343171
118,0,24.756838,0.342173
119,0,18.072304,0.341268
120,2,21.027137,0.340223
121,2,29.097914,0.339041
122,0,21.523509,0.338038
123,4,27.926671,0.336729
124,0,21.525363,0.335768
125,0,24.50285,0.334756
126,0,17.654829,0.333918
127,2,29.175962,0.332723
128,9,39.092606,0.331044
129,3,29.189212,0.329815
130,6,34.696077,0.328353
131,0,23.956814,0.327413
132,3,29.32426,0.326158
133,3,30.020001,0.324992
134,1,21.585167,0.324044
135,4,25.494621,0.322867
136,3,28.053829,0.321673
137,3,29.192157,0.320513
138,1,25.891364,0.319565
139,0,23.294076,0.318624
140,0,23.06348,0.317763
141,0,25.592193,0.316882
142,0,25.811109,0.316006
143,2,26.640234,0.314936
144,0,26.148466,0.314021
145,7,38.33306,0.312647
146,7,33.91398,0.311284
147,7,33.068696,0.309957
148,0,24.265024,0.309119
149,0,24.347778,0.308333
150,0,29.226267,0.307432
151,0,26.892235,0.306584
152,0,27.521639,0.305764
153,0,24.718429,0.304948
154,0,20.958361,0.304229
155,0,23.594056,0.303444
156,0,25.510062,0.302641
157,2,28.835038,0.301682
158,0,24.7595,0.300865
159,1,27.297887,0.29994
160,3,26.077728,0.298954
161,0,22.680303,0.298263
162,2,32.554735,0.297354
163,1,32.402726,0.29645
164,0,29.520563,0.295639
165,0,26.059032,0.294877
166,0,28.692315,0.294074
167,2,28.744512,0.293212
168,0,17.795732,0.292612
169,26,73.349939,0.29036
170,4,34.33883,0.289394
171,0,21.647087,0.288621
172,26,68.294862,0.286492
173,79,140.659029,0.28171
174,16,53.675414,0.280112
175,13,45.693172,0.278687
176,0,23.168453,0.277971
177,25,65.510928,0.276033
178,8,30.548665,0.274952
179,0,24.256134,0.274292
180,43,98.311322,0.271536
181,3,28.870166,0.270673
182,29,76.729929,0.268601
183,25,62.240594,0.266756
184,3,28.476398,0.26594
185,0,23.204062,0.265322
186,8,39.683753,0.264288
187,34,75.35583,0.262123
188,39,76.997786,0.259808
