episode,score,shaped_reward,tau
1,0,10.560296,0.5
2,0,11.741773,0.49995
3,0,9.917526,0.4999
4,0,10.257877,0.49985
5,0,10.619694,0.4998
6,0,10.092604,0.49975
7,0,9.80802,0.4997
8,0,9.920449,0.49965
9,0,10.709351,0.4996
10,1,10.354723,0.49955
11,0,8.897327,0.4995
12,0,9.332428,0.49945
13,0,12.718761,0.4994
14,0,12.401787,0.49935
15,0,8.832112,0.4993
16,0,12.134253,0.49925
17,0,12.599396,0.4992
18,0,15.71318,0.49915
19,0,10.531083,0.4991
20,0,13.13559,0.49905
21,0,11.190309,0.499001
22,0,12.671807,0.498951
23,0,12.159242,0.498901
24,1,12.102531,0.498851
25,0,9.073583,0.498801
26,0,11.292384,0.498751
27,0,12.214535,0.498701
28,0,12.958333,0.498651
29,0,9.682872,0.498601
30,0,12.13232,0.498551
31,0,10.595528,0.498501
32,0,13.018512,0.498451
33,0,10.034562,0.498401
34,0,14.662354,0.498351
35,0,14.84833,0.498301
36,0,16.098454,0.498251
37,0,11.498809,0.498201
38,0,11.631707,0.498151
39,0,16.513718,0.498101
40,0,12.321578,0.498051
41,0,11.38759,0.498001
42,0,12.562191,0.497951
43,0,13.514433,0.497901
44,0,11.669471,0.497851
45,0,16.269749,0.497801
46,0,14.136153,0.497751
47,0,11.267725,0.497701
48,0,14.502573,0.497651
49,1,17.59397,0.497601
50,1,15.914773,0.497551
51,0,14.059229,0.497501
52,0,14.325217,0.497451
53,0,14.649704,0.497401
54,2,16.516325,0.497351
55,0,16.472043,0.497301
56,0,12.880534,0.497251
57,0,12.833538,0.497201
58,1,18.964829,0.497151
59,0,13.01849,0.497101
60,0,16.225733,0.497051
61,0,15.057657,0.497001
62,0,17.758858,0.496952
63,0,16.389585,0.496902
64,0,13.808588,0.496852
65,0,16.301958,0.496802
66,0,15.384542,0.496752
67,0,14.907524,0.496702
68,0,12.642306,0.496652
69,0,15.961076,0.496602
70,0,13.073741,0.496552
71,1,15.546232,0.496502
72,0,14.287739,0.496452
73,1,19.277632,0.496402
74,1,16.204764,0.496352
75,0,13.935895,0.496302
76,0,17.545656,0.496252
77,1,19.584599,0.496202
78,1,14.700389,0.496152
79,0,18.212697,0.496102
80,0,13.554697,0.496052
81,0,12.795623,0.496002
82,0,14.004407,0.495952
83,0,14.861226,0.495902
84,0,12.801009,0.495852
85,0,10.200474,0.495802
86,0,16.376193,0.495752
87,1,15.733977,0.495702
88,1,18.679322,0.495652
89,1,16.520018,0.495602
90,1,19.361228,0.495552
91,0,15.598547,0.495502
92,1,20.466828,0.495452
93,1,15.700957,0.495402
94,0,12.473422,0.495352
95,1,14.106158,0.495302
96,0,13.410283,0.495252
97,1,15.931778,0.495202
98,0,14.693206,0.495152
99,0,12.836095,0.495102
100,0,15.734298,0.495052
101,0,12.436515,0.495003
102,0,17.334157,0.494953
103,0,14.12266,0.494903
104,0,14.365664,0.494853
105,1,15.825453,0.494803
106,0,14.239878,0.494753
107,0,11.839024,0.494703
108,0,12.680908,0.494653
109,1,15.582004,0.494603
110,0,17.140877,0.494553
111,0,14.37253,0.494503
112,0,17.120518,0.494453
113,0,15.585267,0.494403
114,1,13.952356,0.494353
115,0,12.314298,0.494303
116,1,13.912611,0.494253
117,0,14.496161,0.494203
118,2,13.921439,0.494153
119,0,15.879572,0.494103
120,1,13.23342,0.494053
121,2,20.115244,0.494003
122,0,12.995609,0.493953
123,1,16.055216,0.493903
124,1,18.351318,0.493853
125,1,17.932532,0.493803
126,1,16.47489,0.493753
127,0,18.206569,0.493703
128,1,16.573063,0.493653
129,1,11.920237,0.493603
130,1,19.839671,0.493553
131,1,15.063325,0.493503
132,0,15.276682,0.493453
133,1,17.295796,0.493403
134,1,21.158236,0.493353
135,1,12.629521,0.493303
136,2,20.766669,0.493253
137,0,17.35178,0.493203
138,0,18.756626,0.493153
139,0,15.109301,0.493103
140,0,14.58133,0.493053
141,0,20.541766,0.493003
142,0,16.817601,0.492954
143,1,19.770387,0.492904
144,0,18.012355,0.492854
145,0,13.122741,0.492804
146,1,21.451335,0.492754
147,0,17.701974,0.492704
148,0,16.032072,0.492654
149,0,16.138211,0.492604
150,1,20.101552,0.492554
151,1,16.504517,0.492504
152,0,14.771775,0.492454
153,0,14.297085,0.492404
154,0,18.5908,0.492354
155,0,14.357291,0.492304
156,0,14.543694,0.492254
157,0,15.719366,0.492204
158,0,18.711393,0.492154
159,0,12.134053,0.492104
160,1,16.014665,0.492054
161,1,17.919832,0.492004
162,0,17.442813,0.491954
163,0,13.709633,0.491904
164,3,22.903018,0.491854
165,0,14.845847,0.491804
166,1,17.930333,0.491754
167,1,15.509794,0.491704
168,2,18.839106,0.491654
169,0,13.875437,0.491604
170,1,15.164904,0.491554
171,0,11.649734,0.491504
172,2,13.597389,0.491454
173,1,20.413269,0.491404
174,0,16.960124,0.491354
175,0,16.748388,0.491304
176,0,15.882223,0.491254
177,0,14.410281,0.491204
178,1,19.634025,0.491154
179,0,11.900468,0.491104
180,0,17.164653,0.491054
181,1,19.120509,0.491005
182,0,18.41498,0.490955
183,1,16.582212,0.490905
184,1,16.056261,0.490855
185,0,15.512102,0.490805
186,1,17.863712,0.490755
187,0,17.150208,0.490705
188,2,22.85306,0.490655
189,3,22.073982,0.490605
190,1,18.005162,0.490555
191,0,14.403879,0.490505
192,1,18.724769,0.490455
193,0,19.510572,0.490405
194,2,20.81156,0.490355
195,0,15.908706,0.490305
196,0,17.23382,0.490255
197,1,19.594374,0.490205
198,0,16.031702,0.490155
199,0,17.997119,0.490105
200,1,15.31762,0.490055
201,0,17.35289,0.490005
202,2,17.105345,0.489955
203,0,15.229231,0.489905
204,0,14.616148,0.489855
205,2,19.026513,0.489805
206,0,13.631698,0.489755
207,1,16.889657,0.489705
208,0,15.17226,0.489655
209,0,12.956665,0.489605
210,0,16.108286,0.489555
211,0,15.102738,0.489505
212,1,18.066508,0.489455
213,2,17.762091,0.489405
214,2,19.342288,0.489355
215,1,18.777788,0.489305
216,0,17.021104,0.489255
217,0,16.944717,0.489205
218,0,14.227191,0.489155
219,1,12.217124,0.489105
220,0,22.550264,0.489055
221,1,16.331529,0.489005
222,1,16.855865,0.488956
223,1,15.354537,0.488906
224,0,14.990348,0.488856
225,0,15.227545,0.488806
226,0,14.339656,0.488756
227,1,20.135101,0.488706
228,2,21.300256,0.488656
229,0,13.906255,0.488606
230,1,13.795162,0.488556
231,0,13.470503,0.488506
232,1,16.567164,0.488456
233,0,15.406984,0.488406
234,1,18.158038,0.488356
235,0,15.473841,0.488306
236,0,14.366765,0.488256
237,0,15.580898,0.488206
238,0,12.655247,0.488156
239,0,15.266675,0.488106
240,0,13.985315,0.488056
241,1,18.272481,0.488006
242,0,13.184879,0.487956
243,1,18.009383,0.487906
244,0,16.203339,0.487856
245,0,12.939621,0.487806
246,0,14.963251,0.487756
247,1,16.841816,0.487706
248,0,15.231867,0.487656
249,1,14.751778,0.487606
250,0,18.824622,0.487556
251,0,14.480003,0.487506
252,0,18.48113,0.487456
253,2,17.342332,0.487406
254,0,15.819983,0.487356
255,0,17.354751,0.487306
256,1,14.366222,0.487256
257,1,17.419464,0.487206
258,1,16.858163,0.487156
259,1,14.343018,0.487106
260,0,15.618446,0.487056
261,0,13.265876,0.487007
262,0,16.5546,0.486957
263,1,21.947878,0.486907
264,0,13.31277,0.486857
265,0,11.260513,0.486807
266,0,14.375288,0.486757
267,0,15.706414,0.486707
268,0,10.594557,0.486657
269,0,16.457149,0.486607
270,0,13.182278,0.486557
271,0,13.022418,0.486507
272,0,11.808782,0.486457
273,6,34.637317,0.486407
274,0,16.015835,0.486357
275,0,11.615315,0.486307
276,0,16.699662,0.486257
277,1,14.341171,0.486207
278,0,16.24484,0.486157
279,1,12.50508,0.486107
280,0,14.650811,0.486057
281,0,15.341965,0.486007
282,1,17.437644,0.485957
283,0,14.700843,0.485907
284,1,19.088709,0.485857
285,0,14.050078,0.485807
286,1,22.489349,0.485757
287,0,14.216402,0.485707
288,0,13.183919,0.485657
289,1,20.592955,0.485607
290,0,16.523501,0.485557
291,0,16.375713,0.485507
292,2,20.655421,0.485457
293,0,15.664154,0.485407
294,1,21.394703,0.485357
295,1,18.42465,0.485307
296,1,17.412635,0.485257
297,0,17.591142,0.485207
298,1,19.763212,0.485157
299,1,18.402687,0.485107
300,0,13.230422,0.485057
301,2,17.907682,0.485007
302,2,21.417656,0.484958
303,1,15.948741,0.484908
304,0,11.291631,0.484858
305,0,14.738446,0.484808
306,3,22.976267,0.484758
307,1,16.083432,0.484708
308,0,15.378532,0.484658
309,0,16.900927,0.484608
310,1,19.76792,0.484558
311,0,18.140466,0.484508
312,0,15.409535,0.484458
313,1,19.522137,0.484408
314,0,13.809787,0.484358
315,1,14.246404,0.484308
316,0,16.39171,0.484258
317,0,17.656544,0.484208
318,0,14.547931,0.484158
319,0,14.515536,0.484108
320,0,17.247158,0.484058
321,1,17.4277,0.484008
322,0,14.094499,0.483958
323,1,18.942041,0.483908
324,0,11.367577,0.483858
325,0,13.903019,0.483808
326,1,19.423561,0.483758
327,0,17.630563,0.483708
328,1,16.327395,0.483658
329,0,15.716397,0.483608
330,0,14.938451,0.483558
331,1,15.732923,0.483508
332,0,17.604492,0.483458
333,0,14.676721,0.483408
334,0,20.31193,0.483358
335,0,13.204613,0.483308
336,0,13.976216,0.483258
337,0,14.453172,0.483208
338,0,14.466319,0.483158
339,0,14.311811,0.483108
340,0,15.936058,0.483058
341,3,20.580061,0.483009
342,0,16.070705,0.482959
343,1,18.42538,0.482909
344,0,13.622907,0.482859
345,1,22.50837,0.482809
346,0,16.125627,0.482759
347,0,14.566487,0.482709
348,2,18.627345,0.482659
349,0,14.04518,0.482609
350,0,18.587257,0.482559
351,3,22.099311,0.482509
352,0,17.849185,0.482459
353,0,17.213166,0.482409
354,2,17.45436,0.482359
355,0,17.390511,0.482309
356,0,13.051047,0.482259
357,0,15.784403,0.482209
358,0,16.438983,0.482159
359,1,21.265176,0.482109
360,1,15.575279,0.482059
361,2,20.979716,0.482009
362,1,17.647565,0.481959
363,1,18.026281,0.481909
364,0,19.319332,0.481859
365,0,20.350521,0.481809
366,0,11.853252,0.481759
367,0,16.760511,0.481709
368,0,14.843097,0.481659
369,0,16.684134,0.481609
370,1,19.47738,0.481559
371,0,16.140529,0.481509
372,0,12.922206,0.481459
373,3,18.46476,0.481409
374,2,16.74611,0.481359
375,0,14.926919,0.481309
376,0,15.040122,0.481259
377,0,15.567412,0.481209
378,0,13.529936,0.481159
379,1,14.671919,0.481109
380,0,13.979389,0.481059
381,1,17.690962,0.481009
382,1,15.380191,0.48096
383,0,12.401073,0.48091
384,1,17.072042,0.48086
385,1,16.967806,0.48081
386,0,15.891511,0.48076
387,1,15.592918,0.48071
388,0,14.808324,0.48066
389,0,15.314876,0.48061
390,1,17.591739,0.48056
391,0,13.118596,0.48051
392,0,18.930473,0.48046
393,0,14.280663,0.48041
394,0,16.724386,0.48036
395,0,14.503848,0.48031
396,0,16.631734,0.48026
397,0,15.634139,0.48021
398,0,17.243824,0.48016
399,5,26.726322,0.48011
400,0,17.446959,0.48006
401,0,16.888734,0.48001
402,3,19.46087,0.47996
403,0,17.526133,0.47991
404,3,27.539649,0.47986
405,0,15.687593,0.47981
406,0,13.520965,0.47976
407,0,18.26194,0.47971
408,1,19.133748,0.47966
409,1,18.335968,0.47961
410,1,23.784093,0.47956
411,0,19.385017,0.47951
412,0,16.823168,0.47946
413,0,20.007602,0.47941
414,1,18.828423,0.47936
415,0,17.394718,0.47931
416,0,15.499597,0.47926
417,0,14.314222,0.47921
418,0,14.918789,0.47916
419,0,19.785773,0.47911
420,3,22.234335,0.47906
421,0,18.620125,0.479011
422,0,15.004406,0.478961
423,2,20.207479,0.478911
424,1,19.67126,0.478861
425,0,17.604011,0.478811
426,2,19.197655,0.478761
427,0,14.392266,0.478711
428,0,14.640247,0.478661
429,0,17.337323,0.478611
430,0,14.356842,0.478561
431,0,14.836768,0.478511
432,0,18.411506,0.478461
433,1,14.771025,0.478411
434,1,17.772859,0.478361
435,3,19.810502,0.478311
436,1,20.924874,0.478261
437,0,14.808217,0.478211
438,0,15.390064,0.478161
439,0,14.896345,0.478111
440,0,15.732892,0.478061
441,0,12.101758,0.478011
442,0,16.925642,0.477961
443,2,19.055659,0.477911
444,0,17.536269,0.477861
445,1,13.898636,0.477811
446,0,17.322412,0.477761
447,0,13.542993,0.477711
448,0,14.735498,0.477661
449,0,18.823113,0.477611
450,1,20.562534,0.477561
451,0,16.226161,0.477511
452,0,13.006798,0.477461
453,3,21.313851,0.477411
454,0,13.015394,0.477361
455,0,12.25502,0.477311
456,0,13.528148,0.477261
457,0,18.394509,0.477211
458,0,14.72344,0.477161
459,0,16.569085,0.477111
460,0,15.710587,0.477061
461,0,14.549676,0.477011
462,0,19.386201,0.476962
463,3,23.273448,0.476912
464,2,22.805708,0.476862
465,0,17.641406,0.476812
466,2,21.089831,0.476762
467,1,19.323906,0.476712
468,1,19.086555,0.476662
469,1,20.569543,0.476612
470,0,20.339392,0.476562
471,0,16.080796,0.476512
472,1,19.406335,0.476462
473,2,18.707265,0.476412
474,1,18.895408,0.476362
475,0,15.579228,0.476312
476,0,13.882474,0.476262
477,0,19.000905,0.476212
478,0,11.641057,0.476162
479,1,16.742199,0.476112
480,0,14.259725,0.476062
481,0,17.861263,0.476012
482,1,19.782647,0.475962
483,0,19.555724,0.475912
484,1,16.982307,0.475862
485,1,19.220766,0.475812
486,0,16.03159,0.475762
487,0,18.980195,0.475712
488,0,14.122037,0.475662
489,0,16.470042,0.475612
490,3,20.651857,0.475562
491,1,17.518561,0.475512
492,3,22.106457,0.475462
493,2,21.118644,0.475412
494,0,15.468444,0.475362
495,1,22.082453,0.475312
496,2,20.125471,0.475262
497,0,18.986539,0.475212
498,0,18.118549,0.475162
499,2,19.158948,0.475112
500,3,19.763348,0.475062
501,2,18.73209,0.475013
502,0,17.242139,0.474963
503,0,15.308373,0.474913
504,2,26.126573,0.474863
505,1,16.789108,0.474813
506,0,15.432359,0.474763
507,0,15.890927,0.474713
508,1,21.755909,0.474663
509,1,16.143875,0.474613
510,5,27.986572,0.474563
511,1,17.225817,0.474513
512,1,18.008741,0.474463
513,2,24.60058,0.474413
514,1,17.810237,0.474363
515,0,16.877182,0.474313
516,0,17.228784,0.474263
517,0,16.403618,0.474213
518,0,14.829881,0.474163
519,1,18.364835,0.474113
520,1,16.107793,0.474063
521,1,19.535492,0.474013
522,3,25.017687,0.473963
523,1,16.952836,0.473913
524,0,18.789632,0.473863
525,2,21.892116,0.473813
526,1,20.512838,0.473763
527,1,19.84028,0.473713
528,2,18.358423,0.473663
529,0,16.686525,0.473613
530,1,20.308438,0.473563
531,1,19.91394,0.473513
532,0,18.993994,0.473463
533,2,21.752156,0.473413
534,1,19.062729,0.473363
535,0,15.429391,0.473313
536,2,20.953062,0.473263
537,0,16.506985,0.473213
538,0,14.740602,0.473163
539,4,24.747496,0.473113
540,1,20.694211,0.473063
541,2,22.099092,0.473013
542,1,20.080194,0.472964
543,0,13.17727,0.472914
544,0,22.36246,0.472864
545,1,19.577471,0.472814
546,2,22.243556,0.472764
547,1,19.178467,0.472714
548,2,20.515387,0.472664
549,0,16.203938,0.472614
550,0,14.290923,0.472564
551,1,19.522989,0.472514
552,0,16.244668,0.472464
553,1,20.260028,0.472414
554,0,15.342868,0.472364
555,1,23.064148,0.472314
556,1,16.929273,0.472264
557,1,15.877088,0.472214
558,5,31.422332,0.472164
559,1,17.8529,0.472114
560,1,16.464159,0.472064
561,0,16.786766,0.472014
562,1,25.001004,0.471964
563,2,22.256776,0.471914
564,0,14.36377,0.471864
565,3,24.12556,0.471814
566,2,19.070101,0.471764
567,0,21.121041,0.471714
568,0,17.507109,0.471664
569,0,16.942422,0.471614
570,2,16.942082,0.471564
571,0,14.885045,0.471514
572,1,18.182487,0.471464
573,0,17.473468,0.471414
574,0,16.947385,0.471364
575,1,16.690848,0.471314
576,1,19.301294,0.471264
577,1,17.917354,0.471214
578,3,21.746997,0.471164
579,1,13.683028,0.471114
580,1,20.923891,0.471064
581,1,20.659682,0.471015
582,1,19.344724,0.470965
583,0,15.228274,0.470915
584,2,18.021236,0.470865
585,0,14.836892,0.470815
586,0,15.783493,0.470765
587,1,19.428612,0.470715
588,0,15.250237,0.470665
589,2,18.44592,0.470615
590,1,15.59681,0.470565
591,0,14.580865,0.470515
592,0,15.580294,0.470465
593,2,21.247565,0.470415
594,0,12.824319,0.470365
595,0,13.848314,0.470315
596,0,16.172276,0.470265
597,0,14.189332,0.470215
598,1,18.738457,0.470165
599,1,16.390091,0.470115
600,1,15.067911,0.470065
601,1,18.164161,0.470015
602,0,16.84655,0.469965
603,0,12.421962,0.469915
604,3,22.463928,0.469865
605,1,21.177469,0.469815
606,1,18.068977,0.469765
607,0,14.876415,0.469715
608,0,13.255719,0.469665
609,0,19.928638,0.469615
610,0,14.506951,0.469565
611,0,16.536248,0.469515
612,1,19.482151,0.469465
613,1,17.430202,0.469415
614,0,16.945306,0.469365
615,1,18.971186,0.469315
616,0,16.692527,0.469265
617,1,21.906888,0.469215
618,1,16.624832,0.469165
619,0,13.646778,0.469115
620,1,21.555148,0.469065
621,2,26.585458,0.469015
622,0,17.452967,0.468966
623,1,17.023403,0.468916
624,1,18.819973,0.468866
625,1,17.799613,0.468816
626,1,21.836337,0.468766
627,0,17.087131,0.468716
628,3,24.158378,0.468666
629,2,21.125888,0.468616
630,3,26.410865,0.468566
631,0,18.062256,0.468516
632,2,20.026742,0.468466
633,3,25.346414,0.468416
634,1,27.68718,0.468366
635,2,23.010552,0.468316
636,1,21.114095,0.468266
637,0,18.299856,0.468216
638,0,17.680206,0.468166
639,2,25.511604,0.468116
640,1,15.578486,0.468066
641,0,18.844674,0.468016
642,0,18.507179,0.467966
643,1,21.857732,0.467916
644,0,16.805036,0.467866
645,1,19.094645,0.467816
646,0,18.303523,0.467766
647,2,23.795682,0.467716
648,4,25.867718,0.467666
649,0,17.535482,0.467616
650,0,15.766779,0.467566
651,0,20.422895,0.467516
652,1,22.525719,0.467466
653,1,18.36442,0.467416
654,1,21.83314,0.467366
655,1,18.472953,0.467316
656,3,25.452719,0.467266
657,3,31.687754,0.467216
658,9,39.027932,0.467166
659,4,31.915895,0.467116
660,3,24.567946,0.467066
661,2,21.898789,0.467017
662,1,22.040238,0.466967
663,3,25.892984,0.466917
664,0,18.810284,0.466867
665,0,18.500874,0.466817
666,2,19.661895,0.466767
667,0,17.689489,0.466717
668,0,18.667363,0.466667
669,1,17.220465,0.466617
670,1,20.549198,0.466567
671,3,23.943687,0.466517
672,2,21.300681,0.466467
673,5,30.81317,0.466417
674,3,26.9734,0.466367
675,4,28.254218,0.466317
676,0,13.562175,0.466267
677,1,17.654667,0.466217
678,4,31.899639,0.466167
679,8,42.229369,0.466117
680,5,35.593935,0.466067
681,0,15.16542,0.466017
682,3,38.023285,0.465967
683,7,33.754192,0.465917
684,5,28.297967,0.465867
685,4,30.343866,0.465817
686,1,22.604352,0.465767
687,14,47.933078,0.465717
688,0,24.036288,0.465667
689,5,33.64334,0.465617
690,0,27.227624,0.465567
691,7,37.233228,0.465517
692,5,34.586105,0.465467
693,2,23.682101,0.465417
694,3,26.504584,0.465367
695,4,28.755655,0.465317
696,2,24.196385,0.465267
697,0,20.516009,0.465217
698,10,48.658498,0.465167
699,3,26.423258,0.465117
700,6,34.734634,0.465067
701,14,51.634089,0.465017
702,3,30.461358,0.464968
703,1,26.184416,0.464918
704,5,30.551071,0.464868
705,6,35.043595,0.464818
706,8,39.261659,0.464768
707,5,31.933618,0.464718
708,3,25.712547,0.464668
709,1,23.648348,0.464618
710,15,60.32997,0.464568
711,0,21.379235,0.464518
712,20,60.519378,0.464468
713,3,26.621784,0.464418
714,5,34.625559,0.464368
715,8,36.223659,0.464318
716,6,41.022868,0.464268
717,3,28.535837,0.464218
718,10,46.448988,0.464168
719,7,31.838484,0.464118
720,18,60.183867,0.464068
721,2,32.132922,0.464018
722,28,76.616272,0.463968
723,1,20.699691,0.463918
724,4,31.68218,0.463868
725,6,35.315415,0.463818
726,31,84.850098,0.463768
727,5,30.674623,0.463718
728,6,36.360696,0.463668
729,11,42.046776,0.463618
730,14,49.32906,0.463568
731,14,49.174242,0.463518
732,2,30.888451,0.463468
733,8,39.244497,0.463418
734,5,30.244039,0.463368
735,14,57.313161,0.463318
736,18,59.361137,0.463268
737,4,30.264842,0.463218
738,14,48.335022,0.463168
739,18,53.323861,0.463118
740,27,72.299752,0.463068
741,7,34.597318,0.463018
742,3,26.938768,0.462969
743,6,34.275227,0.462919
744,8,43.231448,0.462869
745,10,44.747456,0.462819
746,7,32.552796,0.462769
747,18,60.522321,0.462719
748,7,44.044937,0.462669
749,5,36.574793,0.462619
750,13,48.357158,0.462569
751,28,75.318686,0.462519
752,11,45.40587,0.462469
753,8,45.103677,0.462419
754,11,42.915433,0.462369
755,6,34.775931,0.462319
756,7,33.53537,0.462269
757,8,41.128555,0.462219
758,15,47.576283,0.462169
759,10,40.629169,0.462119
760,9,45.615338,0.462069
761,27,73.851148,0.462019
762,6,35.089985,0.461969
763,1,25.70235,0.461919
764,10,40.92957,0.461869
765,13,53.483713,0.461819
766,20,56.449109,0.461769
767,13,41.32157,0.461719
768,21,59.866335,0.461669
769,4,28.484924,0.461619
770,9,40.136194,0.461569
771,4,39.64536,0.461519
772,7,37.047628,0.461469
