episode,score,shaped_reward,tau
1,0,9.356337,0.498629
2,0,9.958821,0.49708
3,0,9.75521,0.495479
4,1,8.582561,0.493949
5,0,7.126607,0.492732
6,0,10.993965,0.491039
7,0,10.111297,0.489416
8,0,10.51285,0.487805
9,0,9.811189,0.486559
10,0,8.867981,0.485084
11,0,9.635611,0.483617
12,0,9.702404,0.482276
13,0,9.89263,0.480654
14,0,11.31527,0.479214
15,0,8.802327,0.477783
16,0,9.081145,0.47619
17,0,8.158309,0.475003
18,0,10.451901,0.473541
19,0,8.487824,0.472199
20,0,11.734606,0.470699
21,0,10.705957,0.469098
22,0,10.440575,0.467617
23,0,11.100999,0.466038
24,0,11.527669,0.464522
25,0,10.603761,0.463017
26,0,11.371788,0.461574
27,0,10.889332,0.460087
28,0,11.569643,0.45861
29,0,13.293542,0.456934
30,0,11.381048,0.455581
31,0,12.540319,0.454133
32,1,11.914016,0.452694
33,0,13.139166,0.451111
34,0,12.05578,0.449741
35,0,13.915325,0.44828
36,1,11.72684,0.446877
37,1,12.61638,0.445335
38,1,11.994522,0.443951
39,0,16.064098,0.442478
40,0,17.320671,0.440966
41,0,12.714157,0.439512
42,0,14.234981,0.437972
43,0,13.452116,0.436586
44,0,15.079164,0.435208
45,0,13.471371,0.433981
46,0,14.024336,0.43276
47,1,15.317776,0.431267
48,0,13.73996,0.430015
49,0,17.072621,0.428495
50,0,18.660518,0.426894
51,0,14.684542,0.425577
52,0,13.162029,0.424268
53,0,18.45217,0.422788
54,0,17.74356,0.421363
55,0,17.780317,0.419992
56,0,15.806684,0.418629
57,0,17.683357,0.417275
58,0,14.395892,0.416017
59,0,19.193872,0.41468
60,0,18.49393,0.413309
61,0,16.95669,0.411989
62,0,13.556146,0.410931
63,1,14.6374,0.409626
64,0,14.690478,0.408538
65,0,15.729582,0.407373
66,0,16.145299,0.406298
67,0,13.997036,0.405227
68,1,19.077626,0.40404
69,0,16.255731,0.402739
70,1,20.541852,0.401365
71,0,12.606575,0.40044
72,0,14.792796,0.399281
73,0,17.330274,0.39805
74,0,15.575179,0.396825
75,0,14.131119,0.395726
76,0,14.937973,0.394633
77,0,14.255635,0.39343
78,2,20.155286,0.392157
79,0,16.687054,0.391083
80,0,15.290108,0.390016
