episode,score,shaped_reward,tau
1,0,10.643021,0.49838
2,0,9.971775,0.496956
3,0,8.006974,0.495786
4,0,9.728063,0.494499
5,0,11.077206,0.492793
6,0,6.111876,0.491703
7,0,10.408295,0.490196
8,0,10.430732,0.488759
9,0,9.450926,0.487329
10,0,12.804064,0.485732
11,0,8.030339,0.484496
12,0,8.812843,0.48315
13,0,12.500277,0.481638
14,0,11.250618,0.480077
15,0,8.410601,0.478813
16,0,7.436491,0.477612
17,0,10.388767,0.47602
18,1,11.065498,0.474608
19,0,10.119648,0.472981
20,0,8.832135,0.471587
21,0,8.807748,0.470146
22,1,11.153521,0.468549
23,0,10.091231,0.467071
24,1,12.496268,0.46517
25,0,9.466171,0.463822
26,0,10.709482,0.462535
27,0,12.081079,0.461148
28,0,9.276275,0.459876
29,0,11.614683,0.458505
30,0,8.812452,0.457247
31,0,9.418033,0.455944
32,0,12.787776,0.454391
33,0,11.0041,0.45295
34,0,13.025199,0.451365
35,1,13.255857,0.449691
36,0,11.098419,0.44843
37,0,11.093777,0.447127
38,0,11.818363,0.445682
39,0,13.046708,0.444247
40,0,13.017675,0.442723
41,0,12.854956,0.441258
42,0,13.787396,0.439899
43,0,12.583427,0.438596
44,0,14.20752,0.437158
45,0,14.071089,0.435825
46,0,14.182908,0.434452
47,1,11.479079,0.433229
48,0,12.476394,0.432059
49,0,12.539646,0.430617
50,0,18.133429,0.429092
51,1,19.910065,0.427533
52,0,17.414253,0.426167
53,0,14.221962,0.424899
54,1,16.18208,0.423415
55,0,14.278613,0.422119
56,0,12.112951,0.420831
57,0,14.46128,0.419595
58,1,12.880591,0.418279
59,0,17.545674,0.417014
60,0,11.895543,0.415887
61,1,15.729062,0.414551
62,0,14.311374,0.413266
63,0,16.40199,0.411904
64,1,12.760956,0.41072
65,0,13.399883,0.409668
66,0,16.338663,0.408497
67,0,17.044173,0.407166
68,3,24.818572,0.405474
69,0,14.022596,0.404367
70,1,20.684841,0.403023
71,0,15.310133,0.401808
72,0,13.920459,0.400601
73,0,15.567928,0.399481
74,0,18.119543,0.398248
75,0,16.002243,0.397141
76,0,16.108077,0.395961
