episode,score,shaped_reward,tau
1,0,8.859538,0.498504
2,0,10.721631,0.496771
3,0,8.691678,0.495233
4,0,11.166751,0.493705
5,0,7.847116,0.492368
6,0,8.773739,0.490677
7,0,12.483126,0.488998
8,0,12.81243,0.48727
9,0,13.631539,0.485614
10,0,9.569265,0.484027
11,0,10.893141,0.482625
12,0,11.357842,0.481116
13,0,8.912593,0.479789
14,0,11.322881,0.47824
15,0,9.028608,0.476758
16,0,9.664107,0.475511
17,0,11.257456,0.474215
18,0,11.159847,0.472757
19,0,9.466918,0.471476
20,0,9.390513,0.46998
21,0,11.697345,0.468384
22,0,9.665997,0.466962
23,0,8.940279,0.465549
24,0,11.65549,0.464145
25,0,8.158176,0.462802
26,0,8.899961,0.461467
27,0,11.682987,0.460035
28,1,11.491948,0.458663
29,0,10.773235,0.457509
30,0,9.411152,0.456256
31,0,8.691185,0.454959
32,0,10.979704,0.453772
33,0,11.811576,0.452438
34,0,7.816308,0.451416
35,0,6.878792,0.450298
36,1,8.671263,0.449085
37,1,11.132205,0.447527
38,0,12.212919,0.446229
39,0,9.844755,0.445038
40,0,8.478392,0.443951
41,0,10.57597,0.442821
42,0,10.088542,0.441501
43,0,6.09978,0.440577
44,0,10.891551,0.439512
45,0,13.514436,0.438068
46,0,8.050416,0.437063
47,0,9.029426,0.43592
48,0,8.810845,0.434972
49,0,9.035285,0.433839
50,0,10.433406,0.43276
51,0,8.722921,0.431499
52,0,8.00307,0.430478
53,0,9.603254,0.429139
54,0,7.986532,0.42822
55,0,11.382006,0.426803
56,0,7.699807,0.425804
57,0,12.469243,0.424538
58,1,7.590135,0.423504
59,0,13.971507,0.422297
60,0,10.861768,0.421053
61,0,12.580153,0.419771
62,0,9.393619,0.418585
63,0,8.64807,0.417537
64,0,9.074247,0.416406
65,0,7.056786,0.415455
66,0,8.247327,0.414465
67,0,12.962949,0.413437
68,0,7.312819,0.412584
69,0,10.190398,0.41148
70,0,8.458654,0.410425
71,0,8.49676,0.409375
72,0,9.965836,0.408455
73,0,10.724328,0.40729
74,0,9.931768,0.406091
75,0,6.560166,0.405433
76,0,8.37717,0.404408
77,0,9.234308,0.403429
78,0,10.902515,0.402293
79,0,5.732048,0.401687
80,0,10.451176,0.400761
81,0,8.633484,0.39984
82,0,10.172857,0.398804
83,0,11.352802,0.39797
84,0,10.526312,0.396944
85,0,12.835612,0.395804
86,0,11.251584,0.394594
87,0,8.131334,0.393662
88,0,9.9442,0.392812
89,0,12.588159,0.391619
90,0,8.006007,0.390778
91,0,8.054286,0.389902
92,0,9.903897,0.389029
93,1,6.406541,0.388387
94,1,12.043832,0.387259
95,0,8.406455,0.38625
96,0,9.105518,0.385394
97,0,8.773937,0.384578
98,0,9.537838,0.383619
99,0,8.14855,0.382702
100,0,9.067417,0.381934
101,0,7.880809,0.381207
102,0,11.188555,0.380337
103,1,11.433998,0.379291
104,0,11.461347,0.378322
105,0,11.331774,0.377323
106,0,8.981265,0.376506
107,0,10.14609,0.375763
108,0,15.079168,0.374672
109,0,11.287699,0.373657
110,0,12.025606,0.372682
