episode,score,shaped_reward,tau
1,0,10.786545,0.499688
2,0,8.43599,0.499426
3,0,11.751074,0.499089
4,0,8.899968,0.498766
5,0,10.127945,0.49848
6,0,10.904444,0.498182
7,1,11.010977,0.497834
8,0,9.863235,0.497525
9,0,7.777646,0.49724
10,0,9.449003,0.496907
11,0,9.845867,0.496623
12,0,14.721961,0.496253
13,0,9.391875,0.495946
14,0,10.098378,0.495589
15,0,10.904198,0.495307
16,0,8.531683,0.495025
17,0,9.739904,0.494707
18,0,10.976562,0.494389
19,0,9.028546,0.494083
20,0,13.36615,0.493742
21,0,13.338929,0.493413
22,0,8.080003,0.493157
23,0,10.330632,0.492866
24,0,11.983552,0.492514
25,0,13.974746,0.492162
26,0,9.862583,0.491872
27,0,8.292792,0.491557
28,1,16.451947,0.491147
29,0,15.96858,0.490725
30,0,15.660837,0.490316
31,0,9.442387,0.489992
32,0,12.677122,0.489644
33,0,10.293447,0.489345
34,0,9.178831,0.48901
35,0,10.556263,0.488687
36,0,12.941393,0.488377
37,0,17.617725,0.487995
38,0,16.258043,0.487626
39,1,12.561783,0.48727
40,0,15.30028,0.486902
41,0,11.420844,0.486535
42,0,15.096784,0.486204
43,0,18.793679,0.485861
44,0,16.670864,0.48546
45,0,15.486359,0.485143
46,0,15.45248,0.484801
47,0,15.978059,0.484437
48,0,9.8376,0.484133
49,0,13.116387,0.48384
50,0,18.956638,0.483465
51,0,15.805186,0.483138
52,0,16.806301,0.482765
53,0,13.360999,0.482451
54,0,21.687701,0.482044
55,0,16.202661,0.481719
56,0,15.09687,0.481383
57,0,18.700243,0.481
58,0,15.893079,0.480665
59,0,12.676232,0.480377
60,0,12.728146,0.480077
61,0,12.840019,0.479754
62,1,12.214536,0.479432
63,0,14.451383,0.479099
64,0,13.515034,0.478801
65,0,15.542867,0.478469
66,0,14.437603,0.47816
67,1,14.724219,0.477829
68,0,18.008804,0.477475
69,0,13.280992,0.477179
70,1,15.538896,0.47686
71,0,16.210534,0.476542
72,0,14.508575,0.476236
73,0,13.791781,0.475975
74,1,19.584271,0.475579
75,0,15.687918,0.47524
76,1,17.227317,0.474901
77,0,11.079077,0.47462
78,2,16.488565,0.47426
79,1,12.58453,0.473956
80,0,14.912519,0.473642
81,0,13.564069,0.473328
82,0,13.814361,0.473048
83,0,11.52573,0.472735
84,1,16.554817,0.4724
85,0,13.574817,0.472077
86,0,13.812617,0.471776
87,0,14.526029,0.471453
88,0,11.966943,0.471176
89,2,15.756591,0.470821
90,1,12.026702,0.470544
91,0,12.961395,0.470234
92,1,15.508908,0.469903
93,3,17.432173,0.469528
94,1,14.3979,0.469208
95,1,15.712794,0.468867
96,0,13.333042,0.468582
97,0,16.444719,0.468209
98,0,13.219402,0.467891
99,0,12.981033,0.467596
100,1,9.934317,0.467301
101,1,16.136512,0.466984
102,1,13.089978,0.466668
103,0,12.580972,0.466418
104,0,14.266479,0.466146
105,0,14.96991,0.465831
106,0,11.30932,0.465549
107,0,14.775698,0.465235
108,1,16.796918,0.4649
109,0,13.279013,0.464587
110,0,16.86402,0.464263
111,1,15.823283,0.463897
112,1,13.115661,0.463618
113,0,13.069999,0.463338
114,0,17.207118,0.463006
115,0,14.636003,0.462695
116,2,18.086181,0.46231
117,0,12.126359,0.462011
118,1,16.161373,0.461702
119,0,13.886935,0.461404
120,1,15.536075,0.461053
121,0,13.97549,0.460723
122,1,13.703932,0.460416
123,0,15.20138,0.460109
124,1,13.782521,0.459802
125,0,18.910493,0.459474
126,0,16.470608,0.459126
127,0,16.14214,0.458789
128,1,14.011421,0.458505
129,0,16.801511,0.458169
130,2,16.24517,0.457834
131,0,13.291733,0.457551
132,0,14.468419,0.457237
133,0,16.922063,0.456913
134,0,11.126022,0.456652
135,0,16.942083,0.456319
136,0,13.351173,0.456038
137,0,15.396757,0.455726
138,1,13.869875,0.455425
139,0,14.416648,0.455094
140,0,17.657419,0.454783
141,3,20.173268,0.454401
142,0,13.551292,0.454102
143,0,13.005594,0.453803
144,1,19.136872,0.453453
145,0,12.988107,0.453176
146,1,18.534678,0.452806
147,2,20.600859,0.452468
148,0,16.796902,0.452131
149,0,18.069489,0.451794
150,0,17.149659,0.451457
151,0,16.73113,0.451141
152,0,16.867292,0.450846
153,1,15.650027,0.450542
154,0,17.521865,0.450227
155,0,20.407562,0.449893
156,0,13.038599,0.44962
157,2,22.145353,0.449267
158,1,22.470248,0.448893
159,1,19.1025,0.448541
160,0,16.629098,0.448229
161,1,17.935826,0.447878
162,2,23.007042,0.447477
163,0,14.489189,0.447187
164,1,15.282432,0.446887
165,0,15.240525,0.446588
166,0,14.879285,0.446299
167,1,21.715531,0.445941
168,0,14.120008,0.445663
169,0,13.280073,0.445405
170,0,16.024226,0.445107
171,0,13.375002,0.44481
172,0,16.187298,0.444533
173,0,17.741087,0.444227
174,0,18.972565,0.443912
175,1,18.37196,0.443577
176,1,16.834979,0.443262
177,1,14.07578,0.442968
178,3,23.965417,0.442605
179,0,14.09688,0.442331
180,2,22.001255,0.441979
181,0,16.505773,0.441686
182,0,13.61849,0.441413
183,0,14.041335,0.441151
184,0,17.910127,0.440849
185,1,18.811761,0.440529
186,0,13.209172,0.440247
187,0,14.142332,0.439986
188,0,13.146801,0.439734
189,1,17.365169,0.439416
190,1,16.213389,0.439126
191,1,15.143211,0.438827
192,0,16.729635,0.43851
193,1,19.502319,0.438193
194,0,15.74266,0.437924
195,1,17.664153,0.437608
196,0,14.537188,0.43735
197,0,13.173774,0.437072
198,4,22.233531,0.436691
199,2,19.355816,0.436357
200,3,26.738956,0.435948
201,1,20.634301,0.435635
202,0,15.144117,0.435369
203,1,19.16358,0.435076
204,1,18.378032,0.434754
205,0,16.62808,0.434471
206,1,21.73036,0.434131
207,0,18.771644,0.43383
208,0,16.49794,0.433539
209,1,18.084159,0.43321
210,0,12.891965,0.432975
211,0,17.471695,0.432666
212,0,16.308688,0.432386
213,1,16.592715,0.432087
214,1,15.537549,0.431798
215,0,16.113704,0.431537
216,1,16.036803,0.431248
217,0,16.089095,0.430979
218,0,16.999453,0.430691
219,4,26.561709,0.430293
220,0,15.48477,0.430024
221,1,13.815878,0.429747
222,0,16.02459,0.429461
223,2,23.190775,0.429092
224,1,19.531061,0.428789
225,0,17.153846,0.428504
226,1,17.017252,0.428211
227,0,12.274467,0.427963
228,0,15.171514,0.427698
229,0,17.022521,0.427433
230,6,28.74807,0.427004
231,0,17.589801,0.42673
232,3,20.513521,0.426394
233,0,16.914631,0.426094
234,1,22.062981,0.425767
235,0,13.822585,0.425514
236,0,16.347314,0.425233
237,0,19.284071,0.424926
238,0,16.154506,0.424646
239,0,16.777413,0.424367
240,2,21.442562,0.424034
241,0,15.368695,0.423774
242,0,13.585771,0.423513
243,0,16.992231,0.423227
244,2,25.423681,0.42286
245,1,16.192902,0.422574
246,3,25.192115,0.422226
247,2,23.968205,0.421905
248,0,17.615414,0.421621
249,1,18.468459,0.42131
250,0,19.622352,0.421017
251,0,16.839634,0.420751
252,0,13.719847,0.420495
253,2,20.172094,0.420195
254,0,18.433444,0.419912
