episode,score,shaped_reward,tau
1,0,8.247694,0.498567
2,0,12.171493,0.496894
3,1,9.761656,0.495479
4,0,10.347771,0.493888
5,0,8.051415,0.492308
6,0,9.951447,0.490858
7,0,13.289018,0.489057
8,0,9.748775,0.487508
9,1,10.943786,0.48585
10,0,14.081293,0.484027
11,0,9.795132,0.482625
12,0,9.371636,0.48129
13,0,13.246702,0.479731
14,0,8.937481,0.478354
15,0,10.929653,0.476872
16,0,8.440561,0.475568
17,0,9.425866,0.474327
18,0,10.212431,0.472701
19,0,11.159449,0.471198
20,0,12.370702,0.469539
21,0,10.591287,0.468165
22,0,11.946342,0.466527
23,0,10.343369,0.464954
24,0,10.321187,0.463607
25,0,9.970449,0.462161
26,0,12.157522,0.460564
27,0,11.99612,0.458979
28,1,13.453678,0.457195
29,0,12.652805,0.455737
30,0,10.084379,0.454339
31,0,13.504815,0.452796
32,0,14.208828,0.451314
33,0,15.89048,0.449792
34,0,16.510524,0.448229
35,0,13.036278,0.446877
36,0,10.354567,0.445534
37,0,12.784626,0.444099
38,0,10.393491,0.442723
39,0,14.921856,0.441209
40,0,15.616993,0.439754
41,0,16.59275,0.438164
42,0,14.97198,0.436634
43,1,15.301829,0.435066
44,0,13.541857,0.433745
45,1,15.884201,0.432292
46,0,14.587768,0.430988
47,0,13.441754,0.429507
48,0,18.798054,0.428036
49,0,17.761952,0.42653
50,1,15.474622,0.42508
51,1,15.681375,0.423594
52,1,15.795103,0.422164
53,0,18.607811,0.420831
54,0,15.211202,0.419463
55,0,13.266159,0.418148
56,1,13.225701,0.416884
57,0,15.002535,0.415671
58,0,14.758865,0.414379
59,0,16.002856,0.413223
60,0,15.180126,0.411946
61,0,11.480929,0.410889
62,0,17.048166,0.409626
63,0,15.726707,0.408455
64,0,11.083039,0.407373
65,0,13.134491,0.406174
66,1,16.744838,0.404981
67,0,15.014028,0.403796
68,0,14.05087,0.402739
69,0,15.170176,0.401526
70,0,12.257639,0.400561
71,0,15.041632,0.399481
72,6,22.794501,0.397891
73,0,11.175181,0.396904
74,0,15.178284,0.395804
75,0,12.245324,0.394867
76,0,13.111144,0.393933
77,0,14.167647,0.392812
78,1,15.504072,0.391619
79,0,13.075423,0.390739
80,0,17.021482,0.389484
81,0,12.978463,0.388463
82,0,14.744788,0.387409
83,0,13.114147,0.386511
84,1,15.730175,0.385394
85,0,16.178179,0.38432
86,1,17.754019,0.383215
87,0,11.49731,0.382263
88,0,14.768341,0.381279
89,1,18.130485,0.380084
90,1,15.130501,0.378967
91,0,15.009056,0.377929
92,0,13.667424,0.376967
93,0,15.339099,0.375905
94,0,16.019148,0.374777
95,0,13.575303,0.373727
96,0,13.995728,0.372821
97,1,17.909005,0.371747
98,0,14.538028,0.370782
99,1,17.515945,0.369617
100,0,15.266392,0.368664
101,1,15.152221,0.367647
102,0,16.700146,0.366636
103,1,18.015412,0.365564
104,0,14.209852,0.364631
105,1,16.984138,0.363603
106,1,14.316766,0.362549
107,0,18.401375,0.361402
108,0,12.030922,0.360523
109,2,21.63135,0.359421
110,0,13.454311,0.358584
111,1,18.305574,0.357526
112,0,14.372813,0.356633
113,1,20.039994,0.355524
114,0,15.272796,0.354578
115,0,17.473927,0.353544
116,0,15.172394,0.352703
117,0,17.770859,0.351741
118,0,13.678568,0.350785
119,0,15.092049,0.349926
120,0,18.338097,0.348949
121,3,24.455134,0.347675
122,0,15.847912,0.346861
123,2,20.570981,0.345841
124,1,18.961324,0.344798
125,1,17.664645,0.343849
126,0,18.340527,0.342847
127,0,18.47081,0.341968
128,1,20.01809,0.341006
129,2,20.349305,0.339934
130,0,19.412057,0.338954
131,0,21.146004,0.338038
132,1,19.131964,0.336984
133,1,22.24381,0.335909
134,4,24.201489,0.334756
135,0,19.575459,0.333778
136,1,21.719833,0.332723
137,0,13.235333,0.331895
138,2,23.645562,0.330825
139,0,14.623459,0.330033
140,1,21.864984,0.329029
141,0,19.007682,0.328111
142,2,20.874189,0.327118
143,3,21.594036,0.326078
144,3,20.091722,0.324992
145,1,21.291853,0.324149
146,0,18.231284,0.323232
147,0,17.724264,0.322347
148,3,26.424807,0.321234
149,1,22.862089,0.320282
150,1,19.436862,0.319412
151,1,16.015835,0.318674
152,2,25.706778,0.317637
153,0,16.454863,0.316857
154,4,28.817443,0.315632
155,2,22.727834,0.314663
156,1,18.454689,0.313849
157,0,19.72736,0.312989
158,2,22.59941,0.312061
159,2,20.326079,0.311115
160,0,16.401274,0.310438
161,6,32.780913,0.309286
162,5,32.398524,0.308024
163,0,19.49183,0.307267
164,6,29.560028,0.306044
165,3,26.908554,0.304948
166,1,19.146211,0.304113
167,0,20.819388,0.303329
168,0,17.640956,0.302595
169,3,25.28985,0.301614
170,1,24.369147,0.30082
171,1,23.885002,0.300008
172,1,20.66203,0.299267
173,1,25.973069,0.298441
174,12,44.094997,0.296868
175,3,30.599059,0.295836
176,2,25.999476,0.29492
177,5,27.922761,0.293858
178,7,37.990843,0.292633
179,3,27.590927,0.291694
180,0,21.762373,0.290994
181,2,22.043554,0.29017
182,6,37.14771,0.289017
183,2,28.529626,0.288143
184,2,24.413497,0.287294
185,23,55.035829,0.285388
186,0,22.656813,0.284677
187,1,25.255528,0.283869
188,2,28.549177,0.283086
189,3,29.336406,0.282187
190,14,46.03057,0.280741
191,6,32.265493,0.279681
192,9,35.643073,0.278493
193,9,38.7669,0.277277
194,9,36.409375,0.27611
195,4,30.1987,0.275198
196,11,40.688605,0.273973
197,5,31.863534,0.273019
198,3,28.963077,0.272257
199,10,43.623905,0.271095
200,7,31.78301,0.270124
