episode,score,shaped_reward,tau
1,0,10.872427,0.49838
2,0,10.070567,0.496833
3,0,10.176262,0.495295
4,0,7.00307,0.493827
5,0,9.911262,0.492187
6,1,11.269238,0.490617
7,0,13.426441,0.488998
8,0,6.841716,0.487805
9,0,11.390364,0.486086
10,0,9.660459,0.484614
11,0,8.263282,0.483325
12,0,7.38561,0.481986
13,0,7.081547,0.480654
14,0,10.506016,0.479157
15,0,12.443691,0.477555
16,0,12.324556,0.475851
17,1,13.379663,0.474158
18,0,10.117939,0.472646
19,0,10.782969,0.471143
20,0,11.232978,0.469814
21,0,11.260696,0.468329
22,0,7.999126,0.467126
23,0,10.025474,0.465658
24,0,10.821429,0.464037
25,0,11.878611,0.462481
26,0,7.535669,0.461201
27,0,8.189846,0.459876
28,0,10.57977,0.458453
29,0,10.863525,0.457091
30,1,10.133892,0.455581
31,0,9.658518,0.454494
32,0,8.134673,0.453361
33,1,13.513298,0.451875
34,0,7.864861,0.450552
35,0,10.835477,0.449287
36,0,11.64346,0.447928
37,1,10.935767,0.446429
38,0,12.750249,0.444889
39,0,10.421443,0.443754
40,0,12.450126,0.442576
41,0,11.116803,0.441306
42,0,14.174268,0.439802
43,0,14.646083,0.438452
44,0,13.941325,0.436967
45,0,10.789344,0.43573
46,0,13.750552,0.434263
47,0,10.891019,0.433229
48,0,11.223885,0.432012
49,0,15.68864,0.430478
50,0,9.004779,0.429185
51,0,15.213362,0.427807
52,0,14.699954,0.426394
53,0,14.698954,0.425125
54,0,17.748744,0.423549
55,0,17.830476,0.42203
56,0,15.168703,0.420698
57,0,17.192828,0.419331
58,0,12.937726,0.418148
59,0,13.017817,0.416797
60,0,13.002763,0.415541
61,0,13.375014,0.414379
62,0,13.217047,0.413138
63,0,15.658337,0.411946
64,0,15.49979,0.410593
65,1,17.633456,0.409082
66,0,21.366744,0.407623
67,1,16.008687,0.406298
68,0,16.911112,0.40494
69,0,16.947114,0.403673
70,0,17.976332,0.402334
71,0,18.806504,0.401003
72,0,17.619304,0.3998
73,0,16.593946,0.398565
74,0,17.59842,0.397338
75,0,12.596842,0.396157
76,1,21.120003,0.39475
77,0,18.819797,0.39343
78,2,18.414894,0.392042
79,1,19.63212,0.390739
80,0,14.23269,0.389712
81,0,19.368743,0.388463
82,0,16.340345,0.387372
83,0,16.216198,0.386175
84,0,22.369716,0.3848
85,1,19.294631,0.383509
86,0,18.096289,0.382226
87,2,24.945864,0.380699
88,2,17.788295,0.379363
89,0,20.359627,0.378179
90,1,21.126994,0.376896
91,0,19.58874,0.375693
92,5,26.920537,0.373972
93,0,21.614178,0.372752
94,0,21.205796,0.371575
95,0,20.369919,0.37037
96,1,23.347378,0.369106
97,0,23.471779,0.36785
98,1,19.795166,0.366603
99,0,15.263361,0.365664
100,0,24.228109,0.364465
101,3,22.337722,0.363141
102,0,17.576989,0.362155
103,0,22.023049,0.361043
104,0,16.811292,0.360036
105,0,15.133648,0.359131
106,0,17.238473,0.35823
107,1,15.820804,0.357239
108,1,18.68116,0.356252
109,0,22.890803,0.355177
110,0,24.912789,0.354045
111,1,23.957259,0.352858
112,0,22.3388,0.351741
113,0,24.552086,0.3506
114,5,31.556911,0.349071
115,3,23.429313,0.347826
116,0,22.732281,0.346771
117,0,20.563615,0.345781
118,0,20.367924,0.344798
119,2,27.500542,0.343554
120,0,22.257258,0.342554
121,0,18.800357,0.341559
122,1,23.144558,0.340455
123,0,23.106247,0.339472
124,0,19.046135,0.338495
125,0,27.886923,0.33741
126,0,17.225954,0.336644
127,1,20.521408,0.335627
128,1,32.875254,0.334476
129,0,23.951538,0.333528
130,0,24.938503,0.332557
131,0,22.325833,0.331675
132,1,26.977251,0.33066
133,0,18.186884,0.329843
134,0,23.482954,0.328947
135,0,18.165566,0.328192
136,0,20.552598,0.327439
137,2,22.462215,0.326397
138,1,24.220481,0.325336
139,0,24.147354,0.324438
140,0,28.002152,0.323494
141,0,20.421802,0.322685
142,2,30.611766,0.321621
143,0,22.465153,0.320796
144,13,50.281724,0.319005
145,0,21.349946,0.318142
146,0,23.469712,0.31736
147,0,23.687176,0.316481
148,0,24.392277,0.315607
149,8,36.490797,0.314169
150,3,28.445364,0.313038
151,0,24.376132,0.312183
152,0,25.564283,0.311308
153,0,25.371604,0.310463
154,6,34.391416,0.309191
155,10,45.083177,0.307669
156,0,17.76044,0.30696
157,1,25.571023,0.306044
158,0,21.376379,0.30532
159,0,25.732558,0.304507
160,4,30.294518,0.303421
161,0,26.735068,0.302572
162,0,16.895225,0.301887
163,0,26.124981,0.301091
164,0,21.03073,0.300345
165,1,31.164091,0.299446
166,0,24.12037,0.298663
167,5,33.283039,0.297597
168,0,28.28392,0.29678
169,0,26.789872,0.295989
170,0,28.126389,0.295159
171,2,30.037126,0.294204
172,0,29.012746,0.293427
173,0,28.316883,0.292654
174,0,27.693622,0.291886
175,0,21.862012,0.291227
176,0,23.028296,0.290508
177,12,44.043204,0.28908
178,2,30.494276,0.288226
179,0,27.821349,0.287501
180,2,24.198143,0.286759
181,0,25.903514,0.286041
182,1,27.801045,0.285225
183,1,28.452922,0.284414
184,0,28.89871,0.283668
185,0,26.603474,0.282925
186,7,46.266907,0.281809
187,0,28.895293,0.281037
188,0,28.90446,0.280328
189,10,44.727643,0.279076
190,19,63.645902,0.277431
191,6,33.634127,0.276434
192,13,48.805257,0.275046
193,0,24.850867,0.274386
194,14,46.26589,0.273019
195,1,21.547626,0.272313
196,16,61.79641,0.270874
197,40,96.340202,0.26833
198,1,25.855538,0.26763
199,6,34.322373,0.266667
200,33,87.327593,0.26455
