episode,score,shaped_reward,tau
1,0,13.04972,0.498194
2,0,9.738095,0.496648
3,0,9.779138,0.495295
4,0,10.667868,0.493583
5,0,8.947453,0.492126
6,0,7.705586,0.490677
7,0,12.680697,0.489117
8,0,7.646836,0.487805
9,0,7.872398,0.486559
10,0,7.242113,0.48526
11,0,10.934308,0.483617
12,0,11.883154,0.481986
13,0,9.811323,0.480596
14,0,9.224766,0.479272
15,0,9.445903,0.478126
16,0,10.521215,0.476531
17,0,10.755896,0.475172
18,0,8.151535,0.473709
19,0,10.235272,0.472199
20,0,9.413854,0.47081
21,0,10.38417,0.469428
22,0,7.355843,0.468439
23,0,9.987515,0.466962
24,0,7.569912,0.46582
25,0,12.25042,0.464145
26,0,12.743172,0.462642
27,0,7.950552,0.461255
28,0,14.128514,0.459612
29,0,10.504091,0.458085
30,0,9.81126,0.456777
31,0,12.924973,0.455114
32,0,12.71777,0.453566
33,0,13.100534,0.45208
34,1,12.406181,0.450349
35,1,12.146913,0.448833
36,0,12.855965,0.447427
37,2,13.254853,0.445782
38,0,14.336758,0.444346
39,1,13.00376,0.442772
40,0,14.679575,0.441209
41,0,15.666336,0.439609
42,0,12.636965,0.438356
43,0,14.547726,0.436967
44,0,14.232635,0.43554
45,0,13.612064,0.434075
46,0,15.604067,0.432666
47,1,14.597472,0.43136
48,0,14.179844,0.429923
49,0,18.18145,0.428357
50,0,17.861443,0.42694
51,0,13.610505,0.425622
52,2,17.609111,0.424088
53,0,12.578389,0.422922
54,1,13.840636,0.421496
55,0,12.812822,0.420345
56,0,21.132719,0.418804
57,0,14.561554,0.417449
58,1,16.911871,0.415973
59,1,15.896576,0.414594
60,0,15.687,0.413266
61,0,16.357247,0.411946
62,1,16.937095,0.410509
63,0,14.69425,0.409165
64,0,20.793954,0.407706
65,0,21.769282,0.406298
66,1,19.582945,0.404858
67,1,16.002984,0.403592
68,0,14.481413,0.402374
69,1,16.173375,0.401083
70,0,14.595719,0.39992
71,1,16.474185,0.398724
72,0,13.458669,0.397575
73,0,18.264936,0.396393
74,0,16.580062,0.395335
75,0,14.468696,0.394244
76,1,12.444218,0.393043
77,1,13.743169,0.391965
78,1,16.465145,0.390663
79,1,15.588265,0.389598
80,0,14.642054,0.388651
81,0,15.182341,0.387634
82,0,12.447449,0.386772
83,1,22.673659,0.385431
84,0,14.983603,0.384504
85,0,13.332593,0.383472
86,0,16.076551,0.382482
87,1,14.884591,0.381497
88,0,19.23822,0.3803
89,0,18.246915,0.379147
90,0,18.504007,0.378072
91,0,14.597278,0.377038
92,1,19.088631,0.375869
93,0,15.392478,0.374848
94,0,14.772545,0.373797
95,0,13.979104,0.372787
96,0,15.271192,0.371782
97,1,22.477237,0.370473
98,2,23.378432,0.369276
99,2,20.262416,0.368053
100,0,12.703157,0.367141
101,0,18.139252,0.366032
102,0,18.589657,0.36493
103,0,20.767054,0.363901
104,1,23.606506,0.362582
105,0,19.583365,0.361468
106,1,22.222795,0.360263
107,3,24.444458,0.358873
108,0,18.68368,0.35775
109,0,17.770517,0.356729
110,2,26.370687,0.355366
111,1,24.305951,0.354108
112,0,21.353805,0.353045
113,0,21.048521,0.351958
114,1,26.913766,0.350723
115,0,17.975436,0.349742
116,0,19.292661,0.348766
117,0,16.995839,0.347766
118,0,16.055896,0.346921
119,2,14.772041,0.345811
120,1,20.467667,0.344857
121,0,13.620766,0.343997
122,0,18.216313,0.343112
123,0,17.278478,0.342261
124,3,23.568446,0.341151
125,0,17.180884,0.340281
126,2,18.34602,0.339299
127,0,21.507997,0.338352
128,0,16.458068,0.337439
129,1,19.074707,0.33653
130,2,17.634783,0.33557
131,0,16.934026,0.3347
132,0,19.893251,0.333806
133,0,20.153964,0.332889
134,3,21.481329,0.331868
135,1,16.298259,0.330989
136,1,22.433198,0.329924
137,0,15.828233,0.329083
138,1,20.636425,0.328138
139,2,19.812976,0.327252
140,0,19.666866,0.326371
141,0,21.652008,0.325521
142,4,30.244917,0.324333
143,1,22.920307,0.323415
144,0,21.042672,0.322555
145,2,26.935421,0.321466
146,0,22.278542,0.320564
147,1,26.393175,0.31954
148,12,42.358422,0.317839
149,3,26.500853,0.316706
150,0,23.729243,0.315806
151,1,23.848348,0.314886
152,1,20.409021,0.314046
153,0,23.142495,0.31321
154,2,26.644192,0.312183
155,2,22.200902,0.311284
156,8,38.807323,0.309933
157,2,21.248869,0.309047
158,0,23.194227,0.30819
159,8,39.213739,0.306796
160,14,49.270457,0.305041
161,1,21.9201,0.304136
162,4,28.089597,0.30303
163,7,35.001025,0.301841
164,3,25.640371,0.300865
165,9,36.952622,0.299491
166,13,41.639343,0.297952
167,0,27.749947,0.297133
168,11,40.054352,0.295727
169,13,41.910124,0.294161
170,11,37.612012,0.292761
171,9,34.264806,0.291503
172,7,34.243114,0.290318
173,8,35.975074,0.289143
174,19,55.368963,0.287315
175,10,35.419863,0.286021
176,5,32.493712,0.284961
177,7,32.711459,0.283869
178,9,41.663121,0.282626
179,21,54.585538,0.280781
180,1,23.516964,0.279994
181,15,46.698615,0.278513
182,11,40.181356,0.277219
183,5,30.442895,0.276243
184,0,22.969921,0.275596
185,20,53.705288,0.273916
186,11,45.490087,0.272721
187,11,36.749531,0.271518
188,1,24.163689,0.270801
189,25,67.561591,0.268926
190,16,41.010469,0.267523
191,11,44.274387,0.266347
192,14,43.400058,0.265059
193,6,34.684974,0.264166
194,5,33.170541,0.263296
195,8,33.014218,0.262312
196,15,49.750364,0.260994
197,8,31.035769,0.260044
198,21,60.685623,0.258481
199,4,26.471249,0.257715
200,9,47.695648,0.25669
