episode,score,shaped_reward,tau
1,0,10.438345,0.498504
2,0,7.529849,0.497141
3,0,6.573426,0.495847
4,0,9.276767,0.494193
5,0,7.754552,0.492914
6,0,8.793017,0.491521
7,0,11.201681,0.489776
8,0,12.469464,0.488103
9,0,11.759898,0.48644
10,0,9.929245,0.484848
11,0,11.870741,0.48315
12,0,9.923962,0.481638
13,0,9.020381,0.480423
14,0,13.24432,0.478813
15,0,9.397918,0.477498
16,0,10.482562,0.476134
17,0,8.889393,0.474552
18,0,6.539341,0.473261
19,0,8.536751,0.471865
20,1,9.335694,0.470422
21,1,11.700766,0.468713
22,0,9.354439,0.46729
23,0,11.70935,0.465766
24,0,10.862956,0.46436
25,1,12.926837,0.462749
26,0,15.872372,0.461042
27,0,10.324754,0.459559
28,0,11.292463,0.45819
29,0,9.920369,0.45683
30,0,12.121262,0.455322
31,0,13.219712,0.453721
32,0,11.264392,0.452438
33,0,11.427072,0.45106
34,0,10.066084,0.449691
35,0,16.343806,0.448129
36,0,15.554918,0.446628
37,0,15.395032,0.445038
38,1,14.51827,0.443459
39,0,12.822974,0.442087
40,0,16.473247,0.440577
41,0,13.262193,0.439126
42,0,12.510181,0.437733
43,1,15.098334,0.436157
44,0,14.663501,0.434735
45,0,19.28532,0.433135
46,0,15.076104,0.431686
47,0,14.476182,0.430246
48,0,13.22009,0.428862
49,0,14.795947,0.42735
50,0,19.160345,0.425894
51,0,12.406329,0.424674
52,1,18.146152,0.423191
53,0,15.646964,0.421896
54,0,17.672056,0.420698
55,0,14.401764,0.419331
56,2,17.873086,0.417885
57,0,14.174265,0.416667
58,0,19.226752,0.415326
59,0,17.826197,0.41395
60,1,15.308038,0.412669
61,0,18.873107,0.411311
62,0,16.591421,0.410088
63,0,18.341113,0.408789
64,3,16.214659,0.40729
65,0,13.734129,0.406133
66,0,13.294844,0.404899
67,2,19.345362,0.403633
68,1,17.639872,0.402334
69,0,16.482202,0.401244
70,0,16.426051,0.40016
71,0,17.82615,0.399042
72,2,20.403221,0.397654
73,0,17.491678,0.396511
74,0,14.138555,0.395452
75,1,18.857804,0.394205
76,0,20.44733,0.392927
77,0,10.926273,0.392118
78,3,18.804486,0.390778
79,0,16.719086,0.38956
80,2,16.650787,0.388387
81,2,20.333019,0.387034
82,3,23.795037,0.385579
83,3,24.916586,0.384061
84,0,14.940633,0.383105
85,1,18.127297,0.381934
86,3,23.279331,0.380518
87,0,20.958086,0.379363
88,0,14.509995,0.378358
89,0,16.314263,0.377323
90,0,16.045079,0.376258
91,0,18.315206,0.375235
92,0,17.418788,0.374181
93,1,21.193254,0.372995
94,0,17.413187,0.37192
95,0,16.648679,0.370851
96,0,12.513686,0.369925
97,1,17.574381,0.368766
98,0,14.051825,0.367748
99,1,20.271811,0.366636
100,0,16.216596,0.365597
101,1,16.371057,0.364564
102,0,14.241127,0.363603
103,0,17.355291,0.36268
104,0,14.199921,0.361795
105,0,13.737373,0.361011
106,0,18.266052,0.359874
107,1,19.235971,0.358841
108,1,15.841313,0.357878
109,0,14.97367,0.357079
110,0,15.744619,0.356094
111,3,18.911264,0.354956
112,0,15.17308,0.354014
113,0,14.029313,0.353139
114,0,15.226004,0.352268
115,1,20.809943,0.351093
116,0,16.88853,0.350079
117,1,17.251734,0.349101
118,3,19.589028,0.347977
119,3,27.493698,0.346711
120,1,21.993537,0.345602
121,1,19.98944,0.344649
122,0,15.510773,0.343731
123,0,20.148418,0.3427
124,5,34.437874,0.34118
125,6,30.22018,0.339876
126,0,16.721193,0.338954
127,1,19.750964,0.337923
128,0,19.270148,0.336927
129,1,17.236601,0.336022
130,3,25.755467,0.334868
131,0,18.439771,0.334029
132,0,24.983519,0.333084
133,0,17.468681,0.332198
134,7,33.450331,0.330743
135,6,32.668301,0.329299
136,2,21.132146,0.328299
137,1,26.359485,0.327305
138,2,21.272805,0.326211
139,1,21.90266,0.325256
140,4,32.68959,0.323965
141,3,26.121942,0.322893
142,0,22.738813,0.322009
143,4,27.793065,0.320924
144,1,21.060807,0.320026
145,2,23.272135,0.31903
146,0,22.316816,0.318142
147,1,23.974092,0.317158
148,14,55.963543,0.315283
149,7,38.347288,0.313898
150,8,36.471566,0.312451
151,2,26.833119,0.311405
152,1,23.865884,0.310535
153,2,25.356712,0.309574
154,22,60.86203,0.307338
155,11,35.441297,0.30581
156,6,34.943296,0.304507
157,6,32.780704,0.303306
158,6,33.554042,0.302115
159,0,21.625706,0.301364
160,1,22.892239,0.300526
161,5,34.505826,0.299446
162,38,95.211691,0.296472
163,3,27.984131,0.295465
164,5,34.172913,0.294334
165,28,70.144928,0.291971
166,1,19.632077,0.291184
167,8,36.958333,0.289981
168,5,28.324883,0.288934
169,8,36.159057,0.287749
170,12,38.335909,0.286451
171,23,62.431156,0.284495
172,9,39.211442,0.283306
173,8,35.852476,0.282167
174,8,38.579765,0.280978
175,10,39.386285,0.27974
176,12,45.604684,0.278416
177,2,23.235507,0.277739
178,5,33.687548,0.276797
179,10,45.932463,0.275577
180,10,42.625452,0.274348
181,2,29.856153,0.273542
182,13,43.580935,0.272183
183,3,27.497316,0.271407
184,4,35.024444,0.270526
185,9,33.123516,0.269469
186,9,38.216543,0.268456
187,4,34.077468,0.267666
188,10,46.45611,0.266596
189,21,60.852881,0.264988
190,10,47.450082,0.263922
191,13,48.598835,0.262674
192,1,24.410287,0.262055
193,0,20.736715,0.26154
194,21,62.474366,0.259943
195,30,78.945838,0.258015
196,2,29.930339,0.257334
197,21,69.840996,0.25582
198,3,30.772705,0.255053
199,6,36.685098,0.254162
200,4,30.819451,0.253389
201,0,26.576813,0.252813
202,10,49.362736,0.251826
203,26,65.900078,0.250156
204,10,39.474124,0.249175
205,18,61.369421,0.247831
206,9,36.876921,0.246898
207,10,47.136431,0.245897
208,22,66.093928,0.244469
209,9,39.621608,0.243516
210,13,53.952656,0.242483
211,16,48.908428,0.241327
212,17,55.413495,0.24011
213,12,44.031265,0.239149
214,3,29.878371,0.238479
215,9,46.93674,0.237586
216,32,76.694734,0.235905
217,13,41.193618,0.234921
218,5,31.978919,0.234247
219,31,83.989493,0.232639
220,1,33.310454,0.232099
221,10,44.542512,0.231294
222,16,51.393788,0.230216
223,2,25.918279,0.229647
224,7,37.765502,0.228951
225,11,42.534832,0.228128
226,27,72.417227,0.226745
227,5,32.085704,0.226091
228,13,50.265454,0.225213
229,36,86.02006,0.223576
230,14,39.881466,0.22268
231,7,37.181615,0.222013
232,18,56.920267,0.220958
233,10,38.74842,0.220192
234,18,58.410784,0.219178
235,21,59.040277,0.218067
236,8,40.583095,0.217356
237,10,41.795787,0.216591
238,15,58.677138,0.215703
239,22,61.502702,0.214604
240,33,81.601634,0.213208
241,3,35.95672,0.212709
242,0,28.223528,0.212303
243,0,27.021643,0.211909
244,27,66.76043,0.210726
245,19,58.896277,0.209754
246,15,52.902794,0.208888
247,17,52.458712,0.207987
248,20,63.972098,0.207007
249,1,32.063949,0.20658
250,28,75.36641,0.205413
251,15,42.871019,0.204625
252,0,28.537291,0.204248
253,9,37.381607,0.203614
254,4,34.858872,0.203128
255,33,78.639857,0.201877
256,29,75.63437,0.200753
257,17,51.631722,0.19993
258,0,25.296098,0.199581
259,23,55.826428,0.198649
260,51,116.556218,0.196986
261,0,29.540026,0.196618
262,0,25.488253,0.19629
263,0,26.525763,0.195944
264,3,30.985912,0.195542
265,28,76.549334,0.194486
266,16,53.090837,0.193733
267,0,21.228071,0.193396
268,31,82.29379,0.192326
269,34,80.501276,0.191177
270,30,79.364687,0.190123
271,5,32.908876,0.189663
272,1,28.541447,0.189322
273,14,46.615528,0.188661
274,20,65.833892,0.187864
275,1,27.979162,0.187529
