episode,score,shaped_reward,tau
1,0,10.251362,0.498442
2,0,13.210678,0.496586
3,1,8.820506,0.495172
4,0,8.699739,0.493644
5,1,10.167925,0.492065
6,0,10.440223,0.490677
7,0,9.767072,0.488998
8,0,11.290322,0.487448
9,0,9.787182,0.485909
10,1,7.959938,0.484496
11,0,10.846328,0.482975
12,0,12.685696,0.481406
13,0,10.430971,0.479846
14,0,8.176679,0.478354
15,0,10.132546,0.476985
16,0,11.736251,0.475455
17,0,9.873661,0.473934
18,0,7.708076,0.472757
19,0,10.802017,0.471309
20,0,9.710034,0.46987
21,1,11.605353,0.46822
22,0,9.663351,0.466908
23,0,14.200122,0.465387
24,0,12.120358,0.463983
25,0,8.51912,0.462588
26,0,9.682396,0.461201
27,0,12.271653,0.459664
28,1,11.587506,0.45819
29,0,12.800652,0.456673
30,0,14.004567,0.455166
31,0,13.221133,0.453721
32,0,11.518333,0.452284
33,0,13.576828,0.450806
34,0,13.207536,0.449337
35,0,14.829057,0.447778
36,0,11.578833,0.446379
37,0,12.281955,0.444939
38,0,12.494968,0.443607
39,0,14.169262,0.442233
40,0,12.751705,0.44082
41,0,10.959188,0.439657
42,0,12.865683,0.43826
43,1,10.84256,0.43692
44,0,12.723759,0.435682
45,1,17.374196,0.434122
46,0,12.844041,0.432807
47,0,14.421782,0.431499
48,0,14.716511,0.430108
49,0,13.467326,0.428908
50,0,15.127807,0.42767
51,0,13.71212,0.426439
52,0,15.782924,0.425215
53,0,15.933645,0.423864
54,0,15.619346,0.422654
55,1,16.737038,0.421319
56,0,12.747669,0.420036
57,0,15.243784,0.41876
58,0,12.57406,0.417624
59,0,13.690044,0.416493
60,0,14.955026,0.415282
61,0,16.233769,0.413907
62,0,18.102811,0.412541
63,0,14.054193,0.411396
64,0,12.30645,0.410383
65,2,18.686451,0.408831
66,0,15.681388,0.407581
67,0,16.771301,0.406298
68,0,14.965628,0.405063
69,0,12.593493,0.403918
70,0,12.774847,0.40286
71,1,15.921104,0.401647
72,0,16.945132,0.40044
73,0,15.820342,0.399241
74,0,14.520728,0.398168
75,2,16.713795,0.396904
76,0,11.244861,0.395922
77,0,17.904225,0.394789
78,1,16.240569,0.393546
