episode,score,shaped_reward,tau
1,0,6.207574,0.498753
2,0,7.235367,0.497327
3,0,8.321118,0.496155
4,0,10.176157,0.49456
5,0,9.330524,0.493036
6,0,12.473308,0.491521
7,0,9.540778,0.490196
8,0,8.2106,0.488818
9,0,10.491928,0.487389
10,1,12.44642,0.485555
11,0,8.652481,0.484203
12,1,8.986496,0.482684
13,3,10.77712,0.480885
14,0,7.811723,0.479444
15,0,9.068494,0.478069
16,0,10.97735,0.476644
17,0,12.173004,0.475003
18,0,12.62709,0.473373
19,0,12.905066,0.471921
20,0,13.819877,0.470256
21,0,13.480489,0.468549
22,1,11.450662,0.46669
23,0,10.954694,0.46517
24,1,8.283191,0.463822
25,0,10.393051,0.462428
26,0,13.189213,0.460989
27,0,14.264564,0.459453
28,0,13.453497,0.457771
29,0,7.563149,0.456569
30,0,10.864702,0.455218
31,0,15.720046,0.453566
32,0,10.724464,0.452335
33,1,12.756843,0.450704
34,0,10.262335,0.449539
35,0,14.460002,0.448079
36,0,12.97998,0.446828
37,0,11.179196,0.445385
38,0,14.325928,0.443902
39,0,15.94777,0.442478
40,1,15.680483,0.441112
41,1,15.890533,0.439609
42,0,13.921183,0.438212
43,1,14.900391,0.436729
44,0,16.910886,0.435208
45,1,14.323807,0.433698
46,1,14.448524,0.432386
47,2,18.60229,0.43071
48,0,17.82452,0.429277
49,0,16.041019,0.428036
50,1,14.62044,0.426758
51,0,16.958442,0.425441
52,0,13.999271,0.424133
53,0,23.207015,0.422565
54,0,14.179245,0.421363
55,1,13.592382,0.420124
56,0,14.311794,0.418848
57,0,15.539025,0.417624
58,2,19.48652,0.416103
59,1,17.03155,0.414723
60,0,14.827663,0.413479
61,1,15.282926,0.412159
62,0,15.13925,0.411142
63,3,22.74495,0.409417
64,1,14.668841,0.408122
65,0,15.895177,0.406959
66,0,19.96869,0.40568
67,0,14.204107,0.40449
68,1,20.065633,0.403145
69,0,12.122892,0.402293
70,0,13.587218,0.401123
71,0,15.295776,0.39992
72,0,15.782925,0.398764
73,0,16.971791,0.397575
74,1,15.035846,0.396354
75,3,20.062251,0.395101
76,3,20.767252,0.393662
77,0,15.180316,0.392619
78,0,14.911168,0.391543
79,0,15.666491,0.390549
80,1,13.434992,0.389446
81,0,14.121623,0.388387
82,0,17.916142,0.387184
83,0,15.388845,0.38625
84,3,22.041268,0.3848
85,0,16.11406,0.383767
86,1,17.289593,0.382665
87,0,15.601555,0.381679
88,0,13.461882,0.380662
89,0,10.774433,0.379867
90,1,20.182117,0.37868
91,0,12.640463,0.377822
92,0,16.693794,0.376683
93,0,17.343109,0.375728
94,1,18.375204,0.374497
95,0,13.905813,0.373483
96,1,19.85198,0.37237
97,1,19.872992,0.371126
98,1,18.709669,0.370028
99,0,16.984045,0.369106
100,2,19.233684,0.367951
101,1,17.304517,0.366804
102,1,17.929995,0.365764
103,2,24.815336,0.364564
104,1,16.697422,0.363438
105,0,15.892579,0.362417
106,0,13.993283,0.361435
107,0,16.642692,0.360393
108,1,18.532585,0.35926
109,0,12.911384,0.358391
110,0,23.424963,0.357302
111,5,26.820737,0.355904
112,2,21.390633,0.354704
113,2,25.871157,0.353388
114,0,15.215356,0.352392
115,0,21.481372,0.35137
116,3,31.342599,0.349987
117,3,20.958306,0.348797
118,1,20.276951,0.347735
119,1,20.343859,0.34665
120,0,17.94792,0.345632
121,5,28.65838,0.344234
122,2,25.259885,0.343083
123,5,34.169245,0.341588
124,2,23.310137,0.340455
125,3,29.486779,0.339213
126,1,23.72039,0.338181
127,2,19.765663,0.33724
128,1,19.146588,0.336247
129,0,26.157045,0.335261
130,1,20.080231,0.33428
131,2,19.710732,0.333361
132,3,30.601036,0.332116
133,1,22.179975,0.331181
134,3,25.903635,0.33006
135,11,53.130299,0.328272
136,0,19.858794,0.327413
137,4,31.201221,0.326211
138,0,20.810362,0.325283
139,1,24.535393,0.324307
140,20,55.135734,0.321983
141,4,24.960362,0.320796
142,4,32.320618,0.319565
143,3,29.250768,0.318395
144,2,27.618502,0.317284
145,4,24.075394,0.316256
146,29,76.764607,0.31348
147,6,28.787317,0.312207
148,17,42.711588,0.31027
149,13,47.316803,0.308618
150,0,23.659994,0.30774
151,5,34.362542,0.306537
152,4,30.436144,0.305413
153,6,33.574828,0.304229
154,19,65.061564,0.302206
155,1,20.600203,0.301386
156,1,24.590999,0.300571
157,7,32.617097,0.299446
158,0,17.635391,0.298753
159,10,44.684192,0.297464
160,1,20.324967,0.296714
161,9,37.631984,0.29553
162,1,21.970411,0.294768
163,4,26.987655,0.29388
164,2,22.388085,0.293126
165,0,14.115429,0.29259
166,0,13.404363,0.292013
167,4,23.091871,0.291227
168,5,26.193797,0.290381
169,1,17.408716,0.289771
170,0,14.783302,0.289289
171,1,16.832701,0.288663
172,1,16.4271,0.288039
173,3,18.153542,0.287356
174,2,17.987918,0.286656
175,1,14.673718,0.286082
176,2,20.247155,0.285429
177,5,28.507049,0.284576
178,4,27.751078,0.283728
179,1,24.185282,0.283026
180,2,25.81665,0.282247
181,1,17.985614,0.281611
182,2,24.890949,0.280859
183,2,20.167516,0.28023
184,0,16.733096,0.279603
185,1,20.594111,0.278959
186,1,25.914803,0.278222
187,1,18.74505,0.277566
188,4,31.89937,0.276683
189,1,22.841081,0.275976
190,3,30.042083,0.275179
191,0,20.183235,0.274537
192,3,27.943322,0.273691
193,3,25.846152,0.272982
194,1,26.565026,0.272257
195,2,24.271064,0.271592
196,1,21.127042,0.270929
197,0,19.264504,0.270307
198,0,20.331556,0.269651
199,3,28.752732,0.268817
200,9,43.846701,0.267666
201,1,21.667347,0.267005
202,7,28.8478,0.266081
203,13,39.19675,0.264866
204,2,27.100497,0.264096
205,2,22.648625,0.263435
206,7,32.999828,0.262484
207,18,52.525368,0.261045
208,4,27.132463,0.260264
209,2,29.448095,0.259538
210,2,26.066335,0.258849
211,2,26.611692,0.258164
212,3,30.801936,0.257417
213,5,33.322564,0.256591
214,12,44.708043,0.255444
215,8,32.177826,0.254501
216,1,25.199117,0.253904
217,2,30.667313,0.253245
218,8,43.725015,0.252334
219,10,38.845103,0.251383
220,3,25.147401,0.250705
221,5,29.629194,0.249938
222,4,35.003824,0.249206
223,1,27.813163,0.248586
224,16,58.842621,0.247356
225,2,30.956119,0.246655
226,3,36.610404,0.245972
227,9,43.238277,0.245068
