"episode","score","shaped_reward","tau"
"1","1","10.913205","0.498194"
"2","0","10.186153","0.496524"
"3","0","8.911215","0.494988"
"4","0","10.417666","0.49334"
"5","0","10.525972","0.491823"
"6","0","11.322954","0.490136"
"7","0","7.872564","0.488818"
"8","0","14.817911","0.487092"
"9","0","8.784529","0.485791"
"10","0","10.679708","0.484203"
"11","0","12.890265","0.482625"
"12","1","9.478641","0.480827"
"13","0","9.939359","0.479444"
"14","1","10.179636","0.477897"
"15","0","9.519696","0.476531"
"16","0","14.428896","0.474665"
"17","0","10.882779","0.473205"
"18","0","10.408157","0.471698"
"19","0","9.335409","0.470312"
"20","1","10.81284","0.468658"
"21","0","13.402886","0.467181"
"22","0","10.422995","0.465875"
"23","0","11.946515","0.464253"
"24","0","10.259735","0.462802"
"25","0","11.734953","0.461308"
"26","1","11.686521","0.45977"
"27","0","11.263925","0.45819"
"28","0","13.888921","0.456621"
"29","0","10.47069","0.455063"
"30","0","11.437984","0.453515"
"31","0","13.848721","0.451875"
"32","0","13.831444","0.4504"
"33","1","16.459356","0.448632"
"34","0","11.958432","0.447277"
"35","1","15.145517","0.445633"
"36","0","12.972968","0.444198"
"37","0","14.524111","0.442772"
"38","1","13.747755","0.441355"
"39","0","12.903092","0.440092"
"40","1","14.822834","0.4385"
"41","0","14.148172","0.437015"
"42","0","12.106716","0.43573"
"43","0","13.402531","0.434311"
"44","0","17.306931","0.432854"
"45","0","15.34507","0.431499"
"46","1","18.762859","0.430061"
"47","0","15.40275","0.428633"
"48","0","12.296629","0.427625"
"49","0","13.521995","0.426394"
"50","0","16.670231","0.425125"
"51","0","13.500406","0.423774"
"52","0","12.925603","0.422476"
"53","0","18.752541","0.421186"
"54","0","15.824902","0.419727"
"55","0","16.064044","0.418323"
"56","0","14.536142","0.417014"
"57","1","17.382906","0.415628"
"58","0","17.928245","0.414336"
"59","0","17.704","0.413138"
"60","0","14.843713","0.411862"
"61","3","25.670467","0.410214"
"62","0","12.833814","0.409207"
"63","1","16.776784","0.408038"
"64","2","17.58798","0.406669"
"65","0","15.673876","0.405474"
"66","1","14.78147","0.404245"
"67","1","20.006509","0.40286"
"68","0","14.942158","0.401727"
"69","0","13.872266","0.400561"
"70","0","17.754951","0.399441"
"71","1","14.225607","0.398287"
"72","0","13.836637","0.397338"
"73","0","16.73769","0.396157"
"74","0","15.732828","0.394906"
"75","0","16.971236","0.393778"
"76","0","11.561657","0.392812"
"77","0","16.024241","0.391734"
"78","0","12.516726","0.390816"
"79","0","13.82308","0.38975"
"80","1","14.9768","0.388651"
"81","0","15.473202","0.387597"
"82","1","19.651151","0.386287"
"83","1","18.793419","0.38506"
"84","0","13.845632","0.384061"
"85","0","14.745224","0.382995"
"86","0","14.122729","0.382007"
"87","3","20.059347","0.380735"
"88","0","15.985501","0.379723"
"89","0","16.747202","0.378573"
"90","0","13.587328","0.377608"
"91","0","14.061792","0.376683"
"92","0","14.625123","0.375622"
"93","1","16.848264","0.374532"
"94","0","18.882601","0.373448"
"95","1","15.3538","0.37237"
"96","6","25.634351","0.37092"
"97","0","12.18849","0.369994"
"98","0","14.467931","0.369106"
"99","0","16.776847","0.368087"
"100","1","19.65974","0.366905"
"101","2","20.86809","0.365731"
"102","0","16.974771","0.364664"
"103","0","17.898994","0.363603"
"104","1","20.440921","0.362516"
"105","1","22.529769","0.36137"
"106","2","18.972947","0.360133"
"107","0","11.468998","0.359228"
"108","1","13.854969","0.358295"
"109","0","19.881535","0.357175"
"110","0","16.780434","0.356157"
"111","0","17.941112","0.355177"
"112","1","19.405036","0.35417"
"113","0","18.740956","0.35317"
"114","0","17.183387","0.352175"
"115","1","18.959581","0.351093"
"116","0","19.604376","0.35014"
"117","1","20.796372","0.34904"
"118","0","16.495969","0.348159"
"119","0","14.910656","0.347222"
"120","1","17.953632","0.3462"
"121","2","18.145754","0.345155"
"122","0","18.115886","0.344204"
"123","1","19.551091","0.343112"
"124","0","16.545788","0.342173"
"125","1","18.404517","0.34121"
"126","1","14.505941","0.340339"
"127","0","13.128269","0.339559"
"128","1","19.327752","0.338553"
"129","1","19.960835","0.337581"
"130","1","16.136075","0.336644"
"131","1","16.957914","0.335852"
"132","0","20.958837","0.334896"
"133","0","14.559516","0.334141"
"134","0","16.809","0.333306"
"135","0","18.619239","0.332419"
"136","1","16.137677","0.331565"
"137","1","18.773381","0.330633"
"138","1","20.975511","0.329707"
"139","1","18.801127","0.328812"
"140","2","21.405545","0.327761"
"141","0","16.434938","0.326904"
"142","2","22.285264","0.325892"
"143","0","17.836676","0.325018"
"144","1","21.504502","0.324044"
"145","1","18.906435","0.323102"
"146","3","24.419768","0.322139"
"147","2","22.359551","0.321208"
"148","1","21.051977","0.320307"
"149","1","21.170725","0.319361"
"150","0","21.489069","0.318547"
"151","12","44.926396","0.316832"
"152","0","15.173564","0.316131"
"153","6","30.479151","0.314837"
"154","7","32.721355","0.31348"
"155","0","17.822584","0.312695"
"156","2","26.142247","0.311672"
"157","2","22.894781","0.310704"
"158","1","24.847614","0.309837"
"159","3","27.433467","0.308856"
"160","5","33.921419","0.307692"
"161","0","20.210862","0.306866"
"162","6","34.235856","0.305694"
"163","2","21.716688","0.304808"
"164","1","23.578462","0.303905"
"165","12","47.362592","0.30232"
"166","9","37.218857","0.300933"
"167","13","43.401791","0.299334"
