episode,score,shaped_reward,tau
1,0,10.053843,0.498318
2,0,12.389659,0.496524
3,0,9.208593,0.49505
4,0,10.325213,0.493462
5,0,9.49103,0.492187
6,0,11.934402,0.490497
7,1,12.44423,0.488818
8,0,8.826379,0.487329
9,0,11.520449,0.485673
10,1,10.630597,0.484144
11,0,10.494537,0.482742
12,0,5.72619,0.481638
13,0,11.956296,0.480019
14,0,8.196969,0.478583
15,0,9.853845,0.477042
16,0,10.647467,0.475681
17,0,11.473865,0.474215
18,0,9.305298,0.472869
19,0,8.581618,0.471365
20,0,7.331367,0.47009
21,1,7.429971,0.468713
22,0,11.019251,0.467344
23,0,7.5533,0.466092
24,0,7.635528,0.464954
25,0,11.632792,0.463553
26,0,12.095491,0.462
27,0,7.146869,0.460723
28,0,10.913476,0.459242
29,0,9.21035,0.457928
30,0,10.754542,0.456621
31,0,8.713962,0.45527
32,0,11.650335,0.453978
33,0,8.236085,0.452745
34,0,8.729441,0.451569
35,0,7.534806,0.450349
36,0,12.91991,0.448934
37,0,7.954051,0.447878
38,0,10.375313,0.446478
39,1,8.65189,0.445534
40,0,11.715796,0.444148
41,0,9.273754,0.443115
42,0,10.518428,0.441989
43,1,13.473545,0.440529
44,0,8.405542,0.439609
45,0,9.382845,0.4385
46,1,9.915823,0.437206
47,0,10.144571,0.435967
48,0,11.510129,0.434688
49,0,7.023618,0.433651
50,0,9.593276,0.432573
51,0,8.556341,0.431499
52,0,9.06435,0.430478
53,0,8.157206,0.429507
54,0,7.999693,0.428449
55,0,8.086957,0.427487
56,0,10.771313,0.426167
57,0,9.256357,0.425035
58,0,8.627079,0.423864
59,0,11.981276,0.422654
60,0,11.503406,0.421408
61,0,10.389609,0.420256
62,0,7.820607,0.419155
63,0,7.749281,0.418148
64,0,10.433993,0.417014
65,0,10.451233,0.415844
66,0,9.479654,0.414852
67,0,9.523393,0.413779
68,0,9.194272,0.412797
69,0,9.990879,0.411777
70,0,11.181434,0.41072
71,0,6.417037,0.409752
72,0,11.595446,0.408705
73,0,9.420312,0.407581
74,0,10.306814,0.406421
75,0,7.467603,0.40568
76,0,9.037402,0.404613
77,1,9.242894,0.403429
78,0,12.384776,0.402253
79,0,7.038029,0.401485
80,0,10.185928,0.40044
81,1,13.500978,0.399042
82,0,10.35776,0.39805
83,0,10.2678,0.396944
84,0,10.954143,0.395883
85,0,9.705181,0.394984
86,0,8.519372,0.393933
87,0,8.943798,0.393005
88,0,14.67642,0.391773
89,0,8.516847,0.390892
90,0,9.623313,0.389902
91,1,14.249268,0.388765
92,0,9.799485,0.387634
93,0,9.341313,0.386885
94,0,8.752553,0.385877
95,0,9.779683,0.384874
96,0,6.770698,0.384061
97,0,7.842364,0.383142
98,0,10.474561,0.382336
99,0,9.358847,0.381461
100,1,12.95964,0.380337
101,0,7.558044,0.379471
102,0,13.212125,0.378465
