episode,score,shaped_reward,tau
1,0,8.861415,0.498442
2,0,9.601667,0.496894
3,0,8.717137,0.495602
4,0,6.692569,0.494376
5,0,13.725034,0.49255
6,0,5.661278,0.491461
7,0,11.373468,0.489896
8,1,12.048033,0.488103
9,0,9.981525,0.486855
10,0,8.233486,0.485437
11,0,13.319387,0.483851
12,0,8.625982,0.482684
13,1,10.330216,0.481058
14,0,9.558399,0.479559
15,0,11.243383,0.47784
16,0,9.684601,0.476361
17,0,12.216206,0.474665
18,0,11.73021,0.473149
19,0,10.147462,0.471921
20,1,8.683362,0.470478
21,0,12.64656,0.468933
22,0,10.453761,0.467508
23,0,11.976338,0.4662
24,0,9.015105,0.464792
25,0,12.565422,0.463124
26,0,11.234582,0.461681
27,0,9.881836,0.460458
28,0,12.207187,0.458821
29,0,12.60594,0.4573
30,0,14.884976,0.455789
31,0,13.554906,0.454184
32,0,13.774241,0.452591
33,0,12.330658,0.451162
34,0,13.597293,0.449691
35,0,10.963466,0.44828
36,0,12.738686,0.447027
37,0,16.522226,0.445484
38,0,13.774794,0.443951
39,0,14.601144,0.442625
40,0,11.869524,0.441258
41,0,11.884661,0.43985
42,0,11.825936,0.438645
43,1,20.625685,0.437063
44,0,13.749174,0.435635
45,0,12.125879,0.434452
46,0,11.460266,0.433182
47,0,16.210408,0.431779
48,1,14.767738,0.430524
49,2,16.919339,0.428816
50,0,14.630799,0.427487
51,0,17.59093,0.42603
52,0,11.219865,0.424764
53,0,15.676954,0.423325
54,0,13.028453,0.422119
55,3,18.893194,0.420521
56,2,25.09867,0.418804
57,0,16.94255,0.417449
58,1,17.445153,0.416146
59,0,13.489301,0.414852
60,0,15.509963,0.41365
61,1,18.561551,0.412159
62,2,18.215062,0.410846
63,0,19.332617,0.409584
64,0,14.301734,0.408455
65,1,15.444212,0.407208
66,0,14.126278,0.406009
67,0,16.597142,0.40494
68,0,15.978067,0.403796
69,0,13.761069,0.402779
70,1,19.655612,0.401526
71,1,12.883245,0.400521
72,1,14.916204,0.399401
73,1,17.49148,0.398367
74,1,15.508323,0.397219
75,0,13.778967,0.396354
76,1,16.897024,0.395218
77,0,17.459617,0.394128
78,0,16.592642,0.393082
79,0,17.465693,0.391926
80,0,13.513652,0.390892
81,1,18.745524,0.389674
82,0,15.923258,0.388538
83,2,17.496165,0.387484
84,1,16.371957,0.386324
85,0,12.017825,0.385431
86,0,12.23803,0.384504
87,1,15.407597,0.383399
88,1,14.735335,0.382373
89,0,12.141878,0.381388
90,1,17.144527,0.380192
91,0,16.663217,0.379039
92,0,15.986385,0.377965
93,0,11.67536,0.377074
94,1,18.93825,0.375975
95,0,15.453039,0.374953
96,2,16.921772,0.373797
97,0,16.832533,0.372717
98,1,12.477058,0.371747
99,1,16.562035,0.370679
100,1,18.528126,0.369481
